ID	Depth	Coverage	Platform	Farm	Breed
SHD_32038	1.402956247	0.384985127	LC	SHD	Duroc
SHD_1086	2.744183566	0.449258325	LC	SHD	Duroc
SHD_31059	1.627083503	0.581429489	LC	SHD	Duroc
SHD_32666	1.696109175	0.505595018	LC	SHD	Duroc
SHD_15467	1.28361738	0.323670873	LC	SHD	Duroc
SHD_29503	1.538998221	0.526943947	LC	SHD	Duroc
SHD_25225	1.971443569	0.640664908	LC	SHD	Duroc
SHD_7480	1.902614813	0.707263522	LC	SHD	Duroc
SHD_16581	2.031682662	0.682155232	LC	SHD	Duroc
SHD_33649	1.831206141	0.627197922	LC	SHD	Duroc
SHD_17802	1.693617823	0.615814648	LC	SHD	Duroc
SHD_34004	2.658047626	0.403957919	LC	SHD	Duroc
SHD_44285	3.014244135	0.554720504	LC	SHD	Duroc
SHD_30807	2.614463265	0.396970356	LC	SHD	Duroc
SHD_9736	2.626037505	0.389222029	LC	SHD	Duroc
SHD_15312	2.622578069	0.395044944	LC	SHD	Duroc
SHD_47985	1.987179342	0.726752469	LC	SHD	Duroc
SHD_26975	1.867545578	0.697732825	LC	SHD	Duroc
SHD_10054	1.943207995	0.708854658	LC	SHD	Duroc
SHD_3840	1.800081901	0.664237185	LC	SHD	Duroc
SHD_47547	1.804127154	0.661150925	LC	SHD	Duroc
SHD_13980	1.895472095	0.666336357	LC	SHD	Duroc
SHD_7467	1.772561927	0.663018493	LC	SHD	Duroc
SHD_4451	1.770006736	0.665536095	LC	SHD	Duroc
SHD_5056	1.86832917	0.709914199	LC	SHD	Duroc
SHD_21090	1.778539643	0.643073401	LC	SHD	Duroc
SHD_9926	1.802260941	0.628811307	LC	SHD	Duroc
SHD_38183	1.854206909	0.647351319	LC	SHD	Duroc
SHD_27593	1.968047509	0.715926651	LC	SHD	Duroc
SHD_10746	1.602093772	0.577547193	LC	SHD	Duroc
SHD_42974	1.914494815	0.716729613	LC	SHD	Duroc
SHD_17954	1.680629492	0.601620052	LC	SHD	Duroc
SHD_28340	1.857179625	0.698639083	LC	SHD	Duroc
SHD_17906	1.592698371	0.577843325	LC	SHD	Duroc
SHD_1401	1.545542088	0.551258106	LC	SHD	Duroc
SHD_8925	1.754721	0.661677704	LC	SHD	Duroc
SHD_34709	1.799232869	0.675004808	LC	SHD	Duroc
SHD_6977	1.696231171	0.63946463	LC	SHD	Duroc
SHD_1788	1.831760127	0.689112005	LC	SHD	Duroc
SHD_24705	1.701690608	0.636367482	LC	SHD	Duroc
SHD_22716	1.933805433	0.728900228	LC	SHD	Duroc
SHD_16763	1.828445492	0.684023849	LC	SHD	Duroc
SHD_19839	1.323579343	0.274679608	LC	SHD	Duroc
SHD_45448	1.541028528	0.433803973	LC	SHD	Duroc
SHD_33454	1.547748627	0.522627145	LC	SHD	Duroc
SHD_14002	1.420884018	0.407062025	LC	SHD	Duroc
SHD_24659	1.444627274	0.387503951	LC	SHD	Duroc
SHD_13091	1.343365073	0.302717282	LC	SHD	Duroc
SHD_18263	1.435779014	0.439101441	LC	SHD	Duroc
SHD_10564	1.256227116	0.225408218	LC	SHD	Duroc
SHD_11580	1.566828295	0.521969572	LC	SHD	Duroc
SHD_970	1.808316967	0.47482374	LC	SHD	Duroc
SHD_42673	1.605911633	0.49256147	LC	SHD	Duroc
SHD_23565	1.42951293	0.398398477	LC	SHD	Duroc
SHD_29074	1.810663993	0.676041134	LC	SHD	Duroc
SHD_36578	1.867214796	0.698730629	LC	SHD	Duroc
SHD_8350	1.826783885	0.686260457	LC	SHD	Duroc
SHD_36660	1.871495134	0.698993221	LC	SHD	Duroc
SHD_26877	1.811094229	0.669623891	LC	SHD	Duroc
SHD_8673	1.774132281	0.664784915	LC	SHD	Duroc
SHD_21667	1.714504651	0.630882654	LC	SHD	Duroc
SHD_10124	2.216444802	0.792514848	LC	SHD	Duroc
SHD_5464	1.997850045	0.74397198	LC	SHD	Duroc
SHD_22329	1.759775976	0.653296819	LC	SHD	Duroc
SHD_43382	1.809418824	0.675024736	LC	SHD	Duroc
SHD_34196	1.691173091	0.61812081	LC	SHD	Duroc
SHD_11849	1.793039091	0.668933145	LC	SHD	Duroc
SHD_19276	1.859156587	0.691341304	LC	SHD	Duroc
SHD_26554	2.04395515	0.757426591	LC	SHD	Duroc
SHD_32291	1.840069006	0.693434309	LC	SHD	Duroc
SHD_5932	1.767925481	0.655836164	LC	SHD	Duroc
SHD_32883	1.786371838	0.649393791	LC	SHD	Duroc
SHD_27424	1.711655664	0.61971798	LC	SHD	Duroc
SHD_46243	1.827216797	0.651559943	LC	SHD	Duroc
SHD_46349	2.636004824	0.40436573	LC	SHD	Duroc
SHD_48021	2.635051666	0.397973824	LC	SHD	Duroc
SHD_8470	2.642492001	0.409472017	LC	SHD	Duroc
SHD_25820	2.695167171	0.428430664	LC	SHD	Duroc
SHD_14474	2.653518468	0.412656092	LC	SHD	Duroc
SHD_34354	2.659720284	0.412064222	LC	SHD	Duroc
SHD_28139	2.76071478	0.453861955	LC	SHD	Duroc
SHD_17219	2.707544196	0.430129959	LC	SHD	Duroc
SHD_6306	2.712904396	0.427150596	LC	SHD	Duroc
SHD_14925	2.602955568	0.36535926	LC	SHD	Duroc
SHD_34844	2.64334707	0.406121876	LC	SHD	Duroc
SHD_34283	2.629695828	0.399010906	LC	SHD	Duroc
SHD_22365	1.826272145	0.668883834	LC	SHD	Duroc
SHD_29805	2.174328832	0.766183808	LC	SHD	Duroc
SHD_38404	2.565737638	0.374017112	LC	SHD	Duroc
SHD_41830	1.651516659	0.596356817	LC	SHD	Duroc
SHD_17627	2.594335511	0.393307049	LC	SHD	Duroc
SHD_32844	2.593560045	0.388929959	LC	SHD	Duroc
SHD_45784	2.551517411	0.366346215	LC	SHD	Duroc
