PC1	PC2	GRP	ID
-0.0104239	0.00373982	SHD	SHD_293
-0.00969603	0.00355768	SHD	SHD_300
-0.00899117	0.000362222	SHD	SHD_352
-0.0106732	0.00547309	SHD	SHD_365
-0.00882604	0.00298672	SHD	SHD_366
-0.00757898	0.00194644	SHD	SHD_373
-0.0101661	0.000840445	SHD	SHD_376
-0.0116164	0.00570155	SHD	SHD_390
-0.00463437	0.000393957	SHD	SHD_392
-0.0121809	0.00919527	SHD	SHD_393
-0.0100197	0.00361467	SHD	SHD_394
-0.0120167	0.00645229	SHD	SHD_404
-0.00831746	0.00398233	SHD	SHD_405
-0.00602689	-0.00150315	SHD	SHD_421
-0.0092687	0.000652432	SHD	SHD_426
-0.0113638	0.00475096	SHD	SHD_427
-0.0103537	0.0049552	SHD	SHD_438
-0.00985999	0.000827474	SHD	SHD_461
-0.00776992	-0.000266937	SHD	SHD_465
-0.00919337	0.00096472	SHD	SHD_468
-0.010845	0.00631644	SHD	SHD_471
-0.00922957	0.0084815	SHD	SHD_473
-0.00999576	0.00336315	SHD	SHD_475
-0.00270266	-0.0021268	SHD	SHD_481
-0.00562711	0.000200378	SHD	SHD_482
-0.000514741	-0.000535826	SHD	SHD_489
-0.0106513	0.00040161	SHD	SHD_494
-0.0112494	0.00411045	SHD	SHD_503
-0.00589911	-0.00040513	SHD	SHD_504
-0.0099485	0.000128266	SHD	SHD_506
-0.0090862	0.00604141	SHD	SHD_507
-0.00987791	0.00288062	SHD	SHD_512
-0.011516	0.0077845	SHD	SHD_526
-0.0116994	0.00675327	SHD	SHD_529
-0.0107214	0.00299626	SHD	SHD_536
-0.0112659	0.0057485	SHD	SHD_541
-0.0111385	0.00518869	SHD	SHD_549
-0.00904275	0.00884375	SHD	SHD_558
-0.00675936	0.00150599	SHD	SHD_563
-0.00764968	0.00177938	SHD	SHD_567
-0.011761	0.00378098	SHD	SHD_570
-0.00911054	0.00287386	SHD	SHD_571
-0.00981247	-0.00122114	SHD	SHD_576
-0.00894283	0.00284404	SHD	SHD_579
-0.0105053	0.00547362	SHD	SHD_586
-0.0103413	0.00152782	SHD	SHD_587
-0.0118641	0.00323415	SHD	SHD_588
-0.0106639	0.0034976	SHD	SHD_589
-0.00626966	0.000623932	SHD	SHD_599
-0.00402095	-0.00229631	SHD	SHD_604
