ID	Platform	Farm	Breed	Depth	Coverage	RawReads	CleanReads
SHD_599	LC	SHD	Duroc	1.531202216	0.366998801	19232992	18779914
SHD_655	LC	SHD	Duroc	1.268854944	0.254174575	15473950	15241058
SHD_970	LC	SHD	Duroc	1.808316967	0.47482374	23713102	22609876
SHD_1004	LC	SHD	Duroc	1.364765034	0.286492076	19300874	18841096
SHD_1086	LC	SHD	Duroc	2.744183566	0.449258325	19592414	18938146
SHD_1135	LC	SHD	Duroc	1.471905221	0.332499476	15568550	15143090
SHD_1401	LC	SHD	Duroc	1.545542088	0.551258106	6931252	6855804
SHD_1448	LC	SHD	Duroc	1.611101221	0.504394969	30272040	29755774
SHD_1512	LC	SHD	Duroc	1.366883596	0.347144936	18437640	18210844
SHD_1626	LC	SHD	Duroc	1.302976562	0.316339972	17020352	16765144
SHD_1706	LC	SHD	Duroc	1.496209599	0.384507553	22698158	22238736
SHD_1788	LC	SHD	Duroc	1.831760127	0.689112005	27349728	26793488
SHD_1940	LC	SHD	Duroc	1.320461782	0.329646343	20256894	20015670
SHD_2007	LC	SHD	Duroc	1.652952901	0.408237067	22286914	21731348
SHD_2198	LC	SHD	Duroc	1.488638055	0.396734046	29679870	29228922
SHD_2257	LC	SHD	Duroc	1.493688598	0.399943498	21957308	21511752
SHD_2259	LC	SHD	Duroc	1.467166818	0.450570596	28798770	28472208
SHD_2356	LC	SHD	Duroc	1.61060055	0.554419368	32265480	31861052
SHD_2390	LC	SHD	Duroc	1.667811435	0.449868995	25287942	24690002
SHD_2453	LC	SHD	Duroc	1.508572947	0.379695498	18632574	18187546
SHD_2461	LC	SHD	Duroc	1.46966551	0.472251827	27128496	26444522
SHD_2623	LC	SHD	Duroc	1.246074534	0.250363923	12559460	12349736
SHD_2736	LC	SHD	Duroc	1.505459771	0.420686488	21638476	21304790
SHD_2796	LC	SHD	Duroc	1.349872749	0.371037845	22280022	22028928
SHD_2911	LC	SHD	Duroc	1.397039911	0.358401276	28533926	27928924
SHD_2983	LC	SHD	Duroc	1.455994107	0.462709201	23382256	23072322
SHD_3042	LC	SHD	Duroc	1.318618324	0.332045424	20450666	20188008
SHD_3081	LC	SHD	Duroc	1.483792581	0.461505598	30049690	29762288
SHD_3132	LC	SHD	Duroc	1.456079271	0.335086993	18949820	18501550
SHD_3145	LC	SHD	Duroc	1.404455838	0.415154418	23494182	23193044
SHD_3155	LC	SHD	Duroc	1.525944792	0.334766822	16125964	15710340
SHD_3216	LC	SHD	Duroc	1.481766229	0.457872542	25186122	24434426
SHD_3243	LC	SHD	Duroc	1.570280529	0.521814915	22708502	21675702
SHD_3298	LC	SHD	Duroc	1.502313274	0.497713213	27583190	27246558
SHD_3310	LC	SHD	Duroc	1.568935703	0.393962041	21680410	21082540
SHD_3317	LC	SHD	Duroc	1.492246188	0.387003546	22308806	21851066
SHD_3453	LC	SHD	Duroc	1.205903411	0.200740863	12721112	12496774
