Taxonomy	GXH_2074	GXH_3303	GXH_3593	GXH_2631	GXH_2742	GXH_4036	GXH_1390	GXH_3170	GXH_1860	GXH_2301	GXH_1634	GXH_1635	GXH_2741	GXH_1176	GXH_3392	GXH_3174	GXH_2520	GXH_3171	GXH_913	GXH_3806	GXH_695	GXH_3384	GXH_1389
Methanobrevibacter	2.30178	1.61821	7.90722	0.90987	3.65885	1.43755	1.24026	0.08542	7.46655	5.77614	8.81334	5.66065	5.09252	4.45976	1.06134	0.55451	0.10319	8.03736	2.29577	3.37242	0.4518	0.08793	1.61479
Actinomyces	0	0	0	0	0	0	0.30715	0.01704	0.02871	0	0	0	0.53564	0.26669	0.02222	0	0	0.05801	0	0.01712	0.00636	0	0.02556
Bifidobacterium	0.19377	0	0.38341	0.07441	0	0.11973	1.30868	0	0	0	0	0	0	0	0	0.0148	0.71257	0	0	0	0	0	0
Corynebacterium	0	0	0	0	0	0	0.01103	0	0	0	0	0	0	0.01469	0	0	0	0	0	0	0	0	0
Lawsonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dietzia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brevibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brachybacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enteractinococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glutamicibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kocuria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micrococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia	0	0	0	0	0	0	0.00074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellulosimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruaniaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tessaracoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardiopsis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atopobium	0	0	0	0	0	0	0	0	0	0	0	0.00222	0	0	0	0	0	0	0	0	0	0	0
Olsenella	0	0	0	0.23587	0	0	0	0	0	0	0	0	0	0.01152	0	0	0.00606	0	0	0	0	0	0
Collinsella	2.12492	2.04287	0.08863	0.22429	0.9599	2.74496	2.34617	0.68245	3.41975	0.14089	1.01922	6.03353	1.33837	9.08342	1.09833	0.56475	0.03892	7.85407	5.51552	0.30347	10.18701	1.96939	8.27118
Enorma	0.00484	0	0	0	0	0	0	0	0	0	0	0	0	0.01072	0	0	0	0	0	0	0	0	0
Eggerthella	0	0	0.0666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gordonibacter	0	0	0.00147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slackia	0.20761	0.41363	0.24993	0	0	0	0.1083	0	0	0.05646	0.05888	0	0.00938	0	0.05025	0.06292	0	0.21762	0.01668	0	0.38552	0.01024	0
Bacteroides	1.69945	0.2834	28.84908	6.67094	32.94348	10.44359	0.4835	0.16811	6.43533	5.96802	7.16794	3.48794	0.12336	2.97896	3.45884	3.53147	14.0288	0.12478	0.11577	9.91001	0.06508	0.0249	0.11604
Barnesiella	0	0	0	0.01205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyricimonas	3.09239	1.12176	9.93004	0.87489	1.83764	3.04009	0.49865	1.73057	0.64245	0.20378	0.35535	0.77379	0.24432	2.97375	0.29221	0.63372	0.60329	0.03634	0.88205	2.65219	0.27951	0.80761	0.18864
Paludibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Petrimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26228	0	0	0.00123
Sanguibacteroides	0.41926	0.13132	0.07045	0.21966	0.21045	0.96523	0.0845	0.09362	0.40277	0.06006	0.12692	0.1824	0.3015	0.18908	0.11891	0.03791	0.71004	0.22917	0.05693	0.20714	0.08238	0.04398	0.05965
Prevotella	0.77078	1.65086	4.4185	63.95862	3.41695	13.45404	20.21484	67.61166	1.50235	17.66578	10.51227	56.20875	9.1677	3.03762	0.01738	6.67423	1.21166	8.85431	18.53105	3.25174	15.48941	63.7338	48.28025
Alistipes	7.39022	8.12153	8.09704	2.15847	24.43299	10.21544	7.76166	0.88366	2.20089	1.94513	1.04711	2.92986	4.03396	1.65056	2.92903	0.41702	4.73313	2.06286	0.01429	12.66841	4.21866	0.57217	0.69282
Parabacteroides	6.47818	12.07692	2.57646	4.5259	1.97539	2.92753	0.81679	0.10971	12.87359	15.77867	7.21708	5.28891	2.77956	2.18555	10.89197	8.46461	39.58743	5.10619	4.89705	21.46647	0.75624	0.21577	0.46884
Chryseobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibrobacter	0	0.00888	0	0	0	0	0.02948	0	0.0014	0.08674	0.00689	0.00234	0	0	0	0	0	0	0.07602	0	0.00439	0	0
Gemella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caryophanon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jeotgalicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salinicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aerococcaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Facklamia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Globicatella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jeotgalibaca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bavariicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus	0	0	0.04915	0	0	0.43532	0	0	0	0	0.00757	0.15886	0	0.17652	0.0115	0	0	0.78026	0	0	0	0	0
Lactobacillus	11.45061	5.58468	1.03775	0.18291	0.331	2.70998	2.46787	1.70609	0.24754	2.31342	1.84644	0.02977	1.24553	2.52788	0.34639	0.43851	2.28468	0.12145	0.0883	0.86356	4.0773	0.43062	2.1379
Pediococcus	0	0	0	0	0	0	0	0	0	0.29726	0.02015	0	0	0	0	0	0	0	0	0	0	0	0
Sharpea	0.0561	0.07452	0	0.00163	0	0	0.13328	0	0	0	0	0	0	0.16278	0.34572	0	0.1312	0.01003	0	0.00699	0	0	0.00528
Weissella	0	0	0	0	0	0	0.01228	0	0	0.09943	0.01655	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus	0.02639	0	0	0	0.00262	0	0	0.02352	0	0.00277	0	0	0	2.86788	0	0	0.00309	0	0.00478	0	0	0	0
Catabacter	0	0.02211	0.32498	0.01805	0.00934	0	0	0	0	0.1804	0	0.04763	0.81097	0	0.23286	0.14545	0	0	0	0	0	0	0.09246
Christensenella	0.02898	0.46409	0.74877	0.08262	0.15218	0.03154	0.08613	0.02954	0.11592	0.0583	0.03132	0.0743	0.19002	0.03478	0.12956	0.92589	0.33131	0.02975	0	0.27907	0	0.1208	0.24413
Butyricicoccus	0.00681	0	0	0	0	0	0.00795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium	0.09919	0.04804	0	0.00398	0	0	1.86235	0	0.03613	0.01341	2.11417	0.16279	0.12206	7.29634	0	8.54048	0	0.51154	6.6574	0	0.00899	1.81619	0.58613
Hungatella	0.00972	0.01924	0.00605	0.01959	0	0	0	0.0216	0	0	0	0	0	0	0.96356	0	0.00217	0	0	0	0	0	0
