Taxonomy	GXH_2074	GXH_3303	GXH_3593	GXH_2631	GXH_2742	GXH_4036	GXH_1390	GXH_3170	GXH_1860	GXH_2301	GXH_1634	GXH_1635	GXH_2741	GXH_1176	GXH_3392	GXH_3174	GXH_2520	GXH_3171	GXH_913	GXH_3806	GXH_695	GXH_3384	GXH_1389
Methanobacteriales	2.30178	1.61821	7.90722	0.90987	3.65885	1.43755	1.24026	0.08542	7.46655	5.77614	8.81334	5.66065	5.09252	4.45976	1.06134	0.55451	0.10319	8.03736	2.29577	3.37242	0.4518	0.08793	1.61479
Actinomycetales	0	0	0	0	0	0	0.30715	0.01704	0.02871	0	0	0	0.53564	0.26669	0.02222	0	0	0.05801	0	0.01712	0.00636	0	0.02556
Bifidobacteriales	0.19377	0	0.38341	0.07441	0	0.11973	1.30868	0	0	0	0	0	0	0	0	0.0148	0.71257	0	0	0	0	0	0
Corynebacteriales	0	0	0	0	0	0	0.01103	0	0	0	0	0	0	0.01469	0	0	0	0	0	0	0	0	0
Micrococcales	0	0	0	0	0	0	0.00074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptosporangiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coriobacteriales	2.12976	2.04287	0.08863	0.46015	0.9599	2.74496	2.34617	0.68245	3.41975	0.14089	1.01922	6.03575	1.33837	9.10567	1.09833	0.56475	0.04498	7.85407	5.51552	0.30347	10.18701	1.96939	8.27118
Eggerthellales	0.20761	0.41363	0.318	0	0	0	0.1083	0	0	0.05646	0.05888	0	0.00938	0	0.05025	0.06292	0	0.21762	0.01668	0	0.38552	0.01024	0
Bacteroidales	19.85028	23.3858	53.94157	78.42053	64.81691	41.04593	29.85993	70.59731	24.05737	41.62145	26.42667	68.87166	16.6504	13.0155	17.70834	19.75895	60.87434	16.41364	24.49714	50.41825	20.89127	65.39823	49.80747
Flavobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibrobacterales	0	0.00888	0	0	0	0	0.02948	0	0.0014	0.08674	0.00689	0.00234	0	0	0	0	0	0	0.07602	0	0.00439	0	0
Bacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillales	11.5331	5.6592	1.08691	0.18453	0.33362	3.1453	2.61343	1.72961	0.24754	2.71287	1.89071	0.18863	1.24553	5.73507	0.70361	0.43851	2.41897	0.91174	0.09308	0.87054	4.0773	0.43062	2.14318
Clostridiales	36.26169	41.86952	15.76733	6.29315	15.75285	20.30314	30.89142	18.92802	49.98413	30.89178	45.98377	13.93647	56.37659	52.7059	74.49503	58.09147	20.0988	33.49796	37.34143	26.01175	25.49984	20.58657	27.82112
Erysipelotrichales	0.50437	0.67139	0.18441	0.5299	0.06861	0.0127	0.03966	0	0.24579	0	0.04297	0.01686	0	0.11385	0.071	0	0.00647	0.1649	0.00352	0	0.08505	0	0.16361
Firmicutes_unclassified	5.37253	0.0033	0.01498	0	0	0	0	0.01367	0.28763	0	0	0	0.18632	0	0	0	0	0	0.16964	0	0.11405	0	0
Acidaminococcales	0.89986	6.51037	1.59563	2.55394	6.5047	1.11596	6.93467	1.76042	0.58898	8.10721	5.54921	0.96233	2.56981	4.61474	0.49886	1.09554	2.61924	14.38666	12.66064	3.54917	27.27712	5.25403	6.10991
Selenomonadales	0	0	0	0.00939	0	0	0	0	0	0	0	0	0.0025	0	0	0	0	0.08249	0	0	0	0.01019	0
Veillonellales	0.23938	0	0.03327	0.36356	0.00061	0.15334	1.88542	0.46446	0.39816	0	0.15265	0.53743	0.19766	0.06725	0.25218	0	0.07175	3.97304	0.12735	0	0.19482	0.27741	0.31799
Fusobacteriales	0.00521	0	0.10023	0.01299	0	0.50949	0	0	0.01536	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Victivallales	0	0.00129	0.01441	0.02875	0.01589	0.00331	0.01682	0.05498	0	0	0	0	0.43724	0	0.0317	0.00366	0.24173	0	0	0.04804	0	0	0
Caulobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
