Taxonomy	GXH_3171	GXH_2742	GXH_1176	GXH_3170	GXH_3392	GXH_3174	GXH_1634	GXH_2301	GXH_2741	GXH_3384	GXH_2520	GXH_1635	GXH_913	GXH_1390	GXH_2631	GXH_4036	GXH_1860	GXH_3303	GXH_2074	GXH_3806	GXH_3593	GXH_695	GXH_1389
Candidatus Korarchaeum	0	1	0	3	2	2	23	0	1	0	16	1	0	20	1	2	0	0	0	0	0	0	0
Acidilobus	1	0	17	3	2	3	1	4	0	0	4	1	4	9	0	0	1	3	59	2	0	2	0
Caldisphaera	1	0	0	0	10	1	0	1	2	1	1	0	1	0	0	1	5	0	2	1	0	1	3
Desulfurococcus	3	2	2	11	1	0	1	0	1	1	0	1	2	0	9	1	4	2	5	0	0	0	6
Ignicoccus	0	6	0	0	6	5	0	0	0	0	1	0	4	1	0	0	0	1	4	0	0	0	0
Staphylothermus	0	0	0	0	1	0	1	0	0	4	1	0	0	1	2	3	2	0	1	0	2	0	1
Thermogladius	0	0	0	2	1	0	0	3	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0
Thermosphaera	0	0	1	0	0	2	0	1	3	4	0	0	0	0	0	0	0	0	3	0	0	1	0
Hyperthermus	1	0	8	1	16	0	4	11	11	5	3	8	9	1	0	2	0	3	0	1	3	1	3
Pyrodictium	0	0	0	0	0	0	3	0	0	0	0	0	2	1	0	0	1	0	0	1	0	3	0
Pyrolobus	1	0	3	1	0	12	0	2	0	1	21	0	1	0	0	2	0	0	0	2	0	3	0
Acidianus	0	4	0	3	6	2	12	24	0	0	4	16	16	0	2	2	0	0	5	0	7	4	44
Metallosphaera	0	0	0	0	0	3	0	0	0	0	0	0	2	2	0	1	0	0	0	1	1	3	1
Sulfolobus	2	0	13	0	3	15	1	1	5	11	3	0	9	2	1	1	5	9	2	2	3	10	17
Sulfurisphaera	1	0	0	1	0	1	0	0	0	0	0	0	5	0	0	0	4	1	2	0	1	0	2
Thermofilum	0	2	1	4	0	1	6	2	15	0	9	2	2	3	3	1	4	1	0	1	6	6	0
Caldivirga	1	0	0	0	0	2	1	7	0	3	0	3	5	0	1	0	0	0	1	0	0	0	1
Pyrobaculum	0	0	0	1	4	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1
Thermoproteus	19	15	15	12	1	82	11	86	43	31	7	15	29	47	28	14	5	61	3	114	37	25	80
Vulcanisaeta	0	3	1	0	1	5	1	0	4	5	0	0	7	0	19	0	0	0	0	0	0	2	3
Archaeoglobus	19	8	137	24	10	36	25	31	56	113	35	19	232	48	45	21	26	63	197	25	8	49	26
Ferroglobus	4	0	0	17	5	8	4	4	3	13	1	2	14	2	6	0	0	3	7	0	0	5	5
Geoglobus	19	5	36	38	16	10	10	17	27	41	30	25	25	25	19	11	20	30	19	21	36	25	63
Haloarcula	12	4	22	20	23	55	14	4	12	11	23	19	68	53	15	12	14	24	28	19	4	25	22
Halomicrobium	9	0	2	54	9	26	2	7	2	80	3	3	12	6	33	0	1	15	1	3	0	29	56
Halorhabdus	21	7	17	12	11	42	50	12	23	37	23	33	21	23	7	3	11	10	17	17	0	8	15
Halorientalis	0	0	4	4	3	3	3	16	4	0	0	2	22	53	3	2	1	1	4	2	4	17	2
Natronomonas	79	5	7	117	0	5	4	1	37	16	15	12	9	53	5	3	5	13	16	21	3	21	25
Halalkalicoccus	5	29	41	6	6	9	38	20	4	2	21	37	19	2	13	39	3	30	23	9	14	14	29
Halanaeroarchaeum	6	2	40	9	0	5	4	1	1	2	47	0	7	17	25	5	12	0	8	2	5	13	8
Halobacterium	5	13	64	91	10	36	15	0	23	13	22	46	45	21	6	2	1	7	12	56	4	21	18
Halodesulfurarchaeum	0	0	4	2	1	8	0	0	1	0	0	1	2	0	6	1	0	6	1	1	22	1	0
Haloferax	6	13	58	14	25	20	87	27	73	8	33	74	31	36	26	7	1	7	11	33	13	44	16
Halogeometricum	9	0	0	4	1	2	9	5	2	4	5	4	8	4	6	1	3	0	4	2	0	24	1
Haloplanus	8	1	44	9	6	4	29	12	19	15	65	15	18	26	2	3	10	15	3	17	2	38	17
Haloquadratum	44	0	0	640	1	4	24	83	2	99	0	2	62	0	20	1	1	7	14	0	7	52	20
Halohasta	4	10	5	20	1	3	0	2	2	13	0	16	12	0	1	4	6	12	13	5	1	12	7
Halopenitus	10	14	90	3	0	95	3	72	3	2	21	1	9	5	1	5	3	54	1	6	3	13	0
Halorubrum	9	2	17	8	9	11	10	30	3	20	32	23	14	8	11	7	12	1	5	6	11	7	27
Salinigranum	0	3	1	3	10	11	1	1	3	5	14	0	2	1	2	1	0	6	0	2	4	4	12
Halobiforma	1	5	1	6	0	16	7	0	0	5	7	16	16	1	0	0	1	6	0	9	5	0	3
Halopiger	22	7	1	5	1	1	47	8	0	24	15	2	4	7	2	0	17	2	0	16	5	1	10
Halostagnicola	3	0	20	13	9	0	4	3	1	5	2	4	2	5	4	3	1	1	8	1	11	1	3
Haloterrigena	11	0	17	33	7	32	14	11	1	14	23	21	10	11	13	41	2	33	14	18	26	49	46
Natrialba	8	5	100	8	0	67	2	43	5	4	4	3	4	0	10	0	0	47	20	3	3	11	0
Natrinema	2	1	4	30	4	1	9	5	9	3	2	3	0	3	1	5	1	3	2	10	4	6	8
