Taxonomy	GXH_3171	GXH_2742	GXH_1176	GXH_3170	GXH_3392	GXH_3174	GXH_1634	GXH_2301	GXH_2741	GXH_3384	GXH_2520	GXH_1635	GXH_913	GXH_1390	GXH_2631	GXH_4036	GXH_1860	GXH_3303	GXH_2074	GXH_3806	GXH_3593	GXH_695	GXH_1389
Acidilobales	2	0	17	3	12	4	1	5	2	1	5	1	5	9	0	1	6	3	61	3	0	3	3
Desulfurococcales	5	8	14	15	25	19	9	17	15	15	26	9	21	4	11	8	7	6	14	4	5	8	10
Sulfolobales	3	4	13	4	9	21	13	25	5	11	7	16	32	4	3	4	9	10	9	3	12	17	64
Thermoproteales	20	20	17	17	6	90	19	95	63	39	16	20	43	50	51	16	9	62	5	115	43	33	85
Archaeoglobales	42	13	173	79	31	54	39	52	86	167	66	46	271	75	70	32	46	96	223	46	44	79	94
Halobacteriales	160	89	260	338	68	215	146	77	129	170	207	157	212	238	129	119	63	115	121	158	131	185	202
Haloferacales	91	44	216	708	53	155	165	246	107	166	176	139	164	82	74	30	36	105	60	82	41	194	102
Natrialbales	169	38	238	138	62	260	173	138	57	102	229	99	120	85	68	131	153	158	120	141	85	156	142
Methanobacteriales	178740	86542	194964	2930	61578	16774	244919	186503	59212	3806	7704	385211	58118	76289	80789	130983	108443	30154	64862	106343	300789	14871	77136
Methanococcales	100	38	108	84	60	86	74	122	91	233	40	56	111	79	45	28	61	90	72	166	48	122	185
Methanocellales	42	53	155	48	62	16	103	26	7	17	245	72	80	12	28	71	122	33	15	87	35	107	94
Methanomicrobiales	108	45	363	138	185	191	119	198	114	163	202	168	149	150	145	71	66	85	74	137	122	193	104
Methanosarcinales	210	128	466	196	674	301	289	352	1532	399	369	318	453	360	229	177	207	235	286	246	207	366	351
Methanopyrales	0	1	0	1	0	3	0	0	0	1	1	0	1	3	0	0	0	1	0	2	0	9	0
Thermococcales	1062	154	498	387	225	203	629	421	469	379	267	581	334	834	370	971	302	423	503	331	794	413	469
Methanomassiliicoccales	102372	30545	14986	23524	215436	94829	84425	58047	288242	9514	907	49833	41615	208107	30996	146395	35544	201314	198775	2621	1007	19412	1243
Thermoplasmatales	219	129	999	119	728	651	673	595	682	1722	517	1054	1151	682	400	238	406	983	1073	1102	67	684	477
Candidatus Nitrosocaldales	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
Nitrososphaerales	4	2	3	28	13	7	37	13	2	12	0	10	5	0	0	7	1	1	14	2	1	18	0
Nitrosopumilales	2	2	3	0	16	1	0	0	0	2	5	0	11	4	7	1	10	5	12	2	1	5	1
Acidobacteriales	1118	461	1692	1688	630	1709	766	1279	1100	1239	1478	969	1041	2073	1071	1542	1378	1126	1072	692	1626	1510	1391
Solibacterales	146	72	344	186	208	123	479	362	128	351	361	168	405	489	68	170	392	126	141	98	51	294	334
Acidimicrobiales	66	27	36	86	54	35	130	47	27	29	259	56	164	80	23	66	442	35	25	84	39	216	30
Acidothermales	19	6	42	17	15	2	57	8	59	45	92	17	56	41	6	4	24	21	53	29	12	19	11
Actinomycetales	8948	1900	23774	3595	5027	5931	7669	5345	11585	5100	5160	7325	5231	27209	2488	2987	6240	5305	4425	7829	5482	5274	6497
Actinopolysporales	46	2	43	22	15	34	9	58	43	27	44	41	37	15	30	32	72	30	28	22	41	65	23
Bifidobacteriales	4844	2495	15950	3826	7925	8678	7686	6817	6345	6823	20152	7491	10063	77258	14854	13987	7572	5116	13811	7151	23101	8205	7802
Candidatus Nanopelagicales	34	10	147	27	66	109	45	72	174	64	151	79	102	180	65	55	54	42	93	46	44	167	127
Catenulisporales	19	67	323	105	60	346	119	174	61	35	153	135	43	47	46	80	12	129	54	122	42	58	113
Corynebacteriales	8743	3460	18350	9141	5959	13344	10381	11165	8151	8157	13852	10374	10173	15172	6431	4577	8921	8508	10002	10941	5925	8968	9345
Frankiales	547	255	803	459	216	547	586	657	465	464	1383	491	802	415	318	487	1552	526	416	476	529	958	572
Geodermatophilales	114	100	458	233	149	491	334	423	151	325	338	680	418	164	108	166	249	213	230	244	99	270	348
Glycomycetales	64	37	225	63	121	283	76	261	203	67	109	85	93	148	65	21	31	100	45	149	88	60	111
Jiangellales	76	53	387	91	173	324	168	108	102	38	613	269	178	182	43	80	376	105	94	211	100	191	159
Kineosporiales	46	17	117	20	74	18	32	13	13	22	59	45	38	59	13	2	11	17	32	118	17	20	24
Micrococcales	7862	3203	12448	7365	4690	10259	7917	7114	5303	5429	10701	9657	7196	9251	4743	6305	5788	6484	6574	7986	8064	7828	8214
Micromonosporales	810	710	1907	1651	752	1886	1695	1234	758	820	2619	1767	1858	1216	592	913	1788	656	1251	1590	747	1615	1609
Nakamurellales	24	11	122	220	61	86	97	120	87	111	77	124	67	182	28	27	39	50	290	41	38	97	78
Propionibacteriales	2013	1290	5108	2944	1804	3555	3713	3034	1907	2526	4423	3696	3121	3244	2139	1814	3330	1953	2849	3085	1887	3164	3495
Pseudonocardiales	1781	860	3306	1729	1141	2626	2189	2301	1324	1570	2603	2209	2036	1722	1751	1647	1449	1732	1624	2056	1538	1726	2206
Streptomycetales	7463	2691	10644	5629	3444	8507	7808	6789	4730	5109	9177	8218	6291	7725	4579	5598	7820	6413	6706	7292	5252	6420	6699
Streptosporangiales	991	374	1592	808	390	1350	948	844	439	857	1229	1241	569	1083	432	771	533	746	1022	908	814	731	1085
Coriobacteriales	107334	19467	146904	15189	38273	20265	31132	13370	19865	39342	18905	168787	90039	64119	119557	88268	44641	27335	46390	14596	8169	149961	222247
Eggerthellales	9568	5035	17835	6423	12004	13711	10148	10793	8923	7677	12973	13558	10128	12376	6883	7954	12263	12347	10499	10343	13289	11254	12371
Euzebyales	43	39	262	63	194	192	114	142	66	28	328	150	192	144	55	145	322	81	352	192	56	170	97
Rubrobacterales	790	165	322	427	127	271	316	212	138	339	553	501	272	284	205	165	454	166	219	324	179	323	354
Solirubrobacterales	102	55	250	92	80	267	177	154	79	40	500	164	187	113	74	90	368	71	95	252	50	196	165
Aquificales	51	22	118	160	131	57	110	113	53	117	94	142	182	111	13	52	65	81	140	67	145	119	107
Desulfurobacteriales	558	18	56	49	86	91	149	184	232	41	17	112	42	610	222	300	103	335	45	46	269	34	50
Chthonomonadales	70	7	157	104	112	132	45	81	146	60	147	162	79	106	125	85	59	43	285	82	19	41	85
Fimbriimonadales	27	19	143	18	28	38	75	69	55	20	173	131	34	86	10	21	46	18	19	28	27	66	93
Bacteroidales	478500	3052703	334511	660167	1852721	757405	1322500	752837	287943	389908	5422656	1545239	248895	910586	3229037	3398052	658968	774013	1457695	3103594	3266528	340781	347547
Marinilabiliales	356	327	286	558	455	353	745	443	328	578	377	1078	681	444	1091	574	332	357	1012	521	696	524	339
Chitinophagales	988	346	770	1094	726	875	922	1026	1485	1310	567	1999	1688	1297	2557	900	653	947	2021	857	766	1062	1141
Cytophagales	11174	2936	7296	16866	5435	5874	10940	8905	9935	10113	4500	17255	9557	14103	14163	13781	4906	9062	15698	6164	9303	9360	9388
Flavobacteriales	29580	23470	20083	36601	22759	14938	27119	25676	25116	30469	32440	58876	27818	34837	55664	44237	12499	20006	42437	25545	36241	25630	32625
Saprospirales	193	37	99	650	82	92	117	136	276	311	99	254	222	138	317	218	91	94	168	112	102	131	157
Sphingobacteriales	2497	734	1345	2428	1578	1022	2558	1920	2166	1599	1070	3213	2894	3007	2750	2821	986	1841	2144	1543	1933	1983	1622
Bacteroidetes Order II. Incertae sedis	1083	353	1033	1073	526	750	1338	853	716	504	1554	1095	856	735	928	638	889	536	1067	740	490	932	666
Caldisericales	52	1	5	115	6	1	0	4	33	9	1	3	25	35	0	1	1	8	4	1	0	0	1
Calditrichales	65	83	100	85	72	97	122	130	42	215	61	121	116	110	95	77	32	168	158	124	79	193	146
Chlamydiales	54	31	128	106	65	61	209	87	58	81	47	127	207	154	63	59	70	60	138	62	73	127	140
Parachlamydiales	101	14	150	132	85	74	53	66	100	84	30	143	102	115	335	91	24	31	93	40	47	58	100
Chlorobiales	1994	719	2139	2058	911	1388	1793	2044	1705	1398	1178	2355	1623	2483	2604	1965	1466	2269	2111	1852	1580	1922	1814
Anaerolineales	329	101	901	160	230	656	405	439	533	279	804	500	601	531	259	251	231	317	421	505	322	481	390
Ardenticatenales	231	60	329	122	89	427	238	172	153	123	207	451	104	159	71	171	79	78	684	206	91	270	216
Caldilineales	53	58	198	68	112	103	107	81	114	69	215	211	168	50	43	67	123	88	67	118	42	215	131
Chloroflexales	555	271	845	277	375	363	602	335	581	354	372	501	396	661	378	149	600	768	528	905	128	312	335
Dehalococcoidales	577	124	1462	179	778	1320	444	631	477	465	284	775	442	1481	281	463	233	563	530	358	949	444	566
Sphaerobacterales	86	80	460	103	68	118	183	87	130	68	392	215	124	169	88	103	128	112	431	178	67	130	220
Thermomicrobiales	56	16	242	51	54	185	71	246	148	88	65	90	87	102	88	41	84	192	57	161	68	29	81
Chrysiogenales	200	28	132	83	70	149	108	90	95	106	257	106	145	120	158	100	24	114	172	181	50	121	60
Coprothermobacterales	12	2	58	32	3	24	28	13	7	16	0	1	13	4	62	4	4	16	7	2	4	18	1
Gloeobacterales	104	139	274	195	107	356	320	145	168	41	428	198	139	180	175	216	243	155	180	223	162	286	204
Chroococcales	871	68	166	606	90	185	163	341	137	558	109	196	316	99	176	107	82	128	238	134	148	199	457
Chroococcidiopsidales	31	14	24	21	12	6	24	35	6	18	20	11	58	26	17	10	2	15	16	26	10	81	50
Gloeoemargaritales	37	6	65	34	7	31	9	13	24	39	16	15	10	42	1	10	58	5	45	3	2	31	37
Nostocales	1880	587	1210	4390	1146	1535	1087	1566	975	2941	560	1422	4283	1259	1284	373	1608	1680	1313	1694	827	1504	1746
Oscillatoriales	2916	228	542	2861	395	1141	720	1485	467	2123	641	349	1374	774	647	750	289	585	512	566	751	922	1567
Pleurocapsales	62	7	150	17	189	123	75	129	60	65	27	265	64	203	177	23	34	173	213	53	7	18	54
Synechococcales	2670	658	4199	2441	1659	3182	2080	2926	1859	2432	2511	2546	3060	2280	1867	1188	2297	2223	2423	1876	1333	2795	2478
Deferribacterales	143	36	155	113	602	207	127	115	124	171	87	204	220	115	79	48	150	79	292	81	99	185	203
Deinococcales	3051	1120	6711	2037	2564	4955	3420	5104	3154	2673	3180	3404	2851	3873	1810	1319	3652	4029	3057	3487	1591	2519	2810
Thermales	1311	492	2042	1439	629	1673	1318	1300	828	1091	2550	1426	1355	1446	828	972	2703	1204	1030	1671	610	1679	1417
Dictyoglomales	90	22	74	22	385	149	23	27	80	76	31	32	33	37	17	16	49	45	40	77	18	67	163
Elusimicrobiales	38	686	343	2958	23	592	11	4	64	2090	73	5	63	60	260	327	115	31	43	156	10	2087	25
Endomicrobiales	29	15	65	60	38	51	44	21	31	29	41	41	48	117	22	44	13	31	64	119	64	143	120
Fibrobacterales	168	63	181	662	105	193	654	3642	624	1122	264	919	1368	1133	118	73	197	348	380	130	84	403	256
Bacillales	19982	7859	30578	12766	19516	21730	19414	22058	14686	15559	21230	20671	19777	23159	14223	13042	15433	18656	19236	22144	13317	19116	20015
