Taxonomy	GXL_5075	GXL_4092	GXL_1936	GXL_12940	GXL_10143	GXL_13164	GXL_4337	GXL_5777	GXL_1001	GXL_10938	GXL_8500	GXL_11720	GXL_13198	GXL_4363	GXL_4184	GXL_7834	GXL_10941	GXL_12278	GXL_10199	GXL_11714	GXL_7837	GXL_9463	GXL_5076	GXL_7910
Methanobrevibacter	0.03633	1.92793	0.34322	0.63704	1.44686	0.08013	2.05293	2.95774	0.46907	0.13862	0.01173	1.48486	2.96628	3.12337	5.27872	3.28499	7.41581	0.61101	5.34363	11.60764	2.58512	3.42149	1.35743	4.53839
Actinomyces	0.00722	0	0	0	0	0.0011	0.16239	0.01743	0.07472	0.05142	0	0.15427	0	0.00251	0.02355	0	0.0213	0	0	0	0	0.06265	0	0.00481
Bifidobacterium	0	0.01428	0	0.03134	0.02618	0.28528	0.37344	0	0.01355	0.00561	0	0.01716	0	0	0	0	0	0.013	0	0	0.37766	0	0	0.00637
Corynebacterium	0	0	0	0	0	0	0	0	0.01801	0	0	0.02104	0	0	0	0	0	0	0	0	0	0	0.00569	0
Lawsonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03555	0	0	0
Dietzia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brevibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brachybacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enteractinococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glutamicibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kocuria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micrococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellulosimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruaniaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tessaracoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardiopsis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atopobium	0	0	0	0	0	0.0013	0	0	0	0	0.00154	0	0	0	0	0	0	0	0	0	0	0	0	0
Olsenella	0	0	0	0	12.24103	0.07845	0	0	0	0	0	0	0.00562	0	0	0	0	0.0097	0.0219	0	0.30632	0	0	0.00135
Collinsella	1.78204	2.3079	1.88102	0.03351	2.27728	0.57905	1.19314	9.01709	4.68874	1.35221	6.17086	1.9518	0.11341	0.662	0.6488	0.52046	1.03975	0.42035	0.29796	0.92783	0.09034	1.42805	6.93522	0.28517
Enorma	0	0	0	0	0.00069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00301	0
Eggerthella	0.02818	0	0	0.49734	0.6763	0.00115	0.1449	0	0	0	0	0	0.05795	0.02718	0	0	0	0.03987	0	0	0.7509	0	0	0.09666
