Taxonomy	GXL_5075	GXL_4092	GXL_1936	GXL_12940	GXL_10143	GXL_13164	GXL_4337	GXL_5777	GXL_1001	GXL_10938	GXL_8500	GXL_11720	GXL_13198	GXL_4363	GXL_4184	GXL_7834	GXL_10941	GXL_12278	GXL_10199	GXL_11714	GXL_7837	GXL_9463	GXL_5076	GXL_7910
Methanobacteriales	0.03633	1.92793	0.34322	0.63704	1.44686	0.08013	2.05293	2.95774	0.46907	0.13862	0.01173	1.48486	2.96628	3.12337	5.27872	3.28499	7.41581	0.61101	5.34363	11.60764	2.58512	3.42149	1.35743	4.53839
Actinomycetales	0.00722	0	0	0	0	0.0011	0.16239	0.01743	0.07472	0.05142	0	0.15427	0	0.00251	0.02355	0	0.0213	0	0	0	0	0.06265	0	0.00481
Bifidobacteriales	0	0.01428	0	0.03134	0.02618	0.28528	0.37344	0	0.01355	0.00561	0	0.01716	0	0	0	0	0	0.013	0	0	0.37766	0	0	0.00637
Corynebacteriales	0	0	0	0	0	0	0	0	0.01801	0	0	0.02104	0	0	0	0	0	0	0	0	0.03555	0	0.00569	0
Micrococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptosporangiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coriobacteriales	1.78204	2.3079	1.88102	0.03351	14.51899	0.6588	1.19314	9.01709	4.68874	1.35221	6.1724	1.9518	0.11903	0.662	0.6488	0.52046	1.03975	0.43005	0.31986	0.92783	0.39666	1.42805	6.93824	0.28652
Eggerthellales	0.04058	0	0.01111	2.13114	1.36874	0.26482	0.15479	0	0.16856	0.0037	0.12512	0	0.07706	0.50619	0.11432	0.05602	0.12926	0.10986	0	0.05195	1.25147	0.18066	0.00428	0.45175
Bacteroidales	66.51997	45.30629	35.0353	27.1345	36.34297	53.46198	58.12871	36.34968	33.47657	57.11491	36.11436	52.09667	53.74051	42.25553	25.85085	72.5336	32.0993	72.97879	39.9627	22.73284	30.69038	31.23824	41.20284	45.43327
Flavobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20976	0	0	0	0
Fibrobacterales	0	0	0	0	0	0	0	0.21903	0	0.00763	0.0111	0	0	0	0	0	0.03984	0	0	0.00959	0	0	0	0
Bacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01096	0	0.00103	0
Lactobacillales	2.51877	0.71794	10.16735	5.47265	2.89736	7.33561	1.13665	1.84405	0.29928	1.05255	17.24897	0.57255	9.67917	1.34186	13.15065	7.68152	13.01762	1.1427	0.90422	0.59498	1.1432	0.17858	7.3702	2.52622
Clostridiales	22.81346	34.6255	25.59647	56.07907	18.74708	10.28049	22.46384	30.34394	45.69885	28.63296	11.88164	31.73583	24.92878	42.27209	31.40305	10.56086	34.20035	14.79289	18.34874	38.50082	13.05504	35.30762	30.30681	36.68617
Erysipelotrichales	0.00249	0.00331	0.04543	0.15998	0.38858	0.00168	0.01244	0.02017	0	0	0.02582	0	0	0.05648	0.32414	0.1252	0.08865	0.03725	0.0343	0.07242	0.86891	0.00429	1.95633	0.16955
Firmicutes_unclassified	0	0	0	0	0	0	0	0.00353	0	0	0.2264	0	0	0	0	0	0	0	10.43402	0	0	0	0.00432	0
Acidaminococcales	2.7814	2.36073	0.48639	1.093	3.99643	0.83568	1.57684	4.79726	4.52893	3.05413	8.71697	0	0.94029	1.96215	18.45131	1.24707	9.40342	0.3018	0.36504	2.89339	0.64577	6.79155	1.62444	3.65179
Selenomonadales	0	0	0	0	0	0.68188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Veillonellales	1.11331	0	0	0.4966	0.59588	1.18857	0	0.05011	0.92285	0.10053	13.21084	0	0.14893	0.81902	0.01235	0	0.79406	0.2765	0.25415	0.02336	0.06581	0.11962	0.41141	0.26612
Fusobacteriales	0	0	0.80815	0	0	0	0	0	0	0	0	0	0.03778	0	0	0	0	0.0066	0.00373	0	0.00526	0.03361	0	0
Victivallales	0	0	0.51479	0	0.0109	0.6905	0.01847	0.31642	0	0	0.0116	0	0.04238	0.20048	0	0	0	0	0.14354	0.01308	0.04282	0	0	0
Caulobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderiales	0.01517	1.86919	3.26517	0.10685	6.21261	2.1342	0.26903	0.41369	0.00289	0	0.04139	0	2.56466	0.04352	0	0.01166	0	4.09453	2.02173	0.23093	3.79308	0.10544	0.21535	0.10962
Desulfovibrionales	1.7664	3.00231	3.53642	1.28826	1.46386	1.56699	4.74728	7.11765	4.35271	4.33864	1.54171	6.77715	2.28518	5.83095	2.73133	1.72748	0.88813	1.34938	5.58637	3.40238	0.86867	3.64236	0.73563	1.48799
Campylobacterales	0	0	0.0124	0.16882	3.38321	0.01877	0.05013	0.02115	0	0.06984	0	0.03743	0.58266	0.0367	0.00308	0.12668	0	0.14871	6.54316	0.08854	0.0084	0.00345	0.69876	0.00113
Alteromonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacterales	0.2758	1.81772	16.83764	2.90586	3.96438	0.02416	4.65775	0.15824	0.32123	3.3752	0.53358	0.06272	0.32457	0.03099	0.09427	0.24487	0.27622	1.10169	3.63124	0.45354	3.94826	2.62436	6.87004	0.03687
