Taxonomy	GXL_5075	GXL_4092	GXL_1936	GXL_12940	GXL_10143	GXL_13164	GXL_4337	GXL_5777	GXL_1001	GXL_10938	GXL_8500	GXL_11720	GXL_13198	GXL_4363	GXL_4184	GXL_7834	GXL_10941	GXL_12278	GXL_10199	GXL_11714	GXL_7837	GXL_9463	GXL_5076	GXL_7910
Euryarchaeota	0.03633	1.92793	0.34322	0.63704	1.44686	0.08013	2.05293	2.95774	0.46907	0.13862	0.01173	1.48486	2.96628	3.12337	5.27872	3.28499	7.41581	0.61101	5.34363	11.60764	2.58512	3.42149	1.35743	4.53839
Actinobacteria	1.82985	2.32218	1.89213	2.196	15.9139	1.20999	1.88376	9.03451	4.96359	1.41294	6.29752	2.14427	0.19609	1.17071	0.78668	0.57647	1.1903	0.55291	0.31986	0.97977	2.06134	1.67136	6.9482	0.74944
Bacteroidetes	66.51997	45.30629	35.0353	27.1345	36.34297	53.46198	58.12871	36.34968	33.47657	57.11491	36.11436	52.09667	53.74051	42.25553	25.85085	72.5336	32.0993	72.97879	39.9627	22.73284	30.69038	31.23824	41.20284	45.43327
Chlamydiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20976	0	0	0	0
Fibrobacteres	0	0	0	0	0	0	0	0.21903	0	0.00763	0.0111	0	0	0	0	0	0.03984	0	0	0.00959	0	0	0	0
Firmicutes	29.22944	37.70748	36.29565	63.3013	26.62532	20.32391	25.18978	37.05905	51.4499	32.84018	51.31063	32.30838	35.69716	46.4516	63.34151	19.61465	57.50409	16.55114	30.34047	42.08497	15.78969	42.40166	41.67454	43.29984
Fusobacteria	0	0	0.80815	0	0	0	0	0	0	0	0	0	0.03778	0	0	0	0	0.0066	0.00373	0	0.00526	0.03361	0	0
Lentisphaerae	0	0	0.51479	0	0.0109	0.6905	0.01847	0.31642	0	0	0.0116	0	0.04238	0.20048	0	0	0	0	0.14354	0.01308	0.04282	0	0	0
Proteobacteria	2.06088	6.68921	23.65301	4.46978	15.02406	3.74412	9.72419	7.71073	4.67682	7.78367	2.11668	6.8773	5.75706	5.94216	2.82868	2.44147	1.16434	6.69622	17.7825	4.17539	8.61841	6.37562	8.51978	1.63562
Spirochaetes	0	0.03743	0.04178	0.0158	0.01218	0	0.75343	0.52235	2.19592	0.36301	4.12638	4.07372	0.01781	0.15972	1.50517	1.51364	0.351	0.00113	0.05198	1.20839	0.00102	0.07646	0.01927	0.16134
Synergistetes	0.32354	6.00947	1.4147	2.24558	4.51937	0.23704	2.24873	5.83049	2.76813	0.33904	0	1.0148	1.54493	0.69643	0.40839	0.03518	0.2353	1.78596	4.77935	15.97855	30.57808	14.78156	0.2329	4.1821
Tenericutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Verrucomicrobia	0	0	0	0	0.10443	20.25233	0	0	0	0	0	0	0	0	0	0	0	0.81624	1.27224	0	9.62786	0	0.04505	0
Eukaryota_unclassified	0	0	0.00129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
