Taxonomy	GXL_5075	GXL_10938	GXL_8500	GXL_5076	GXL_12940	GXL_7910	GXL_7834	GXL_7837	GXL_13164	GXL_12278	GXL_11720	GXL_4184	GXL_1936	GXL_11714	GXL_10199	GXL_9463	GXL_4092	GXL_10143	GXL_13198	GXL_1001	GXL_5777	GXL_10941	GXL_4337	GXL_4363
Acidilobaceae	0	1	12	9	14	6	1	1	0	0	3	3	0	4	0	0	1	11	0	32	1	0	0	0
Caldisphaeraceae	0	1	1	2	0	1	0	0	0	0	2	2	0	4	0	1	2	0	4	4	4	0	2	2
Desulfurococcaceae	5	0	2	5	25	17	0	1	2	5	3	3	3	6	4	1	3	2	2	2	1	7	1	4
Pyrodictiaceae	2	9	2	9	0	2	7	1	0	2	21	1	4	1	7	1	3	0	0	14	3	32	1	2
Sulfolobaceae	5	5	13	20	7	2	7	17	66	4	8	38	5	5	7	44	1	15	2	5	48	14	7	6
Thermofilaceae	5	5	2	1	3	0	1	0	2	2	13	1	0	8	13	4	2	4	2	3	17	2	0	0
Thermoproteaceae	7	36	17	36	19	90	46	11	75	10	102	137	34	20	14	106	24	8	100	40	32	68	26	86
Archaeoglobaceae	42	169	61	68	16	22	85	50	85	21	45	90	83	29	78	41	15	60	46	143	93	118	17	247
Haloarculaceae	99	87	89	59	87	93	99	115	20	41	186	49	87	137	143	184	133	72	185	89	112	186	64	125
Halobacteriaceae	62	55	128	113	24	22	76	50	14	45	94	77	33	17	87	29	10	111	25	24	33	35	43	112
Haloferacaceae	6	98	244	51	45	106	637	36	51	18	248	207	117	18	35	46	126	179	32	71	72	195	62	412
Halorubraceae	12	17	28	23	10	12	29	152	36	23	19	115	23	28	37	125	24	29	37	126	48	29	16	83
Natrialbaceae	130	206	388	160	102	140	100	153	129	75	162	139	233	123	241	174	108	144	263	219	231	97	69	240
Methanobacteriaceae	5203	14437	1873	88503	29471	231304	105687	283923	6758	87316	37846	160882	25760	524290	271083	82394	64130	59623	209491	24290	116062	134154	114154	110723
Methanothermaceae	0	0	2	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
Methanocaldococcaceae	8	3	11	27	13	6	8	5	5	6	8	1	1	3	6	2	3	61	7	13	3	5	7	6
Methanococcaceae	36	81	129	116	67	62	131	9	12	55	326	269	30	53	71	50	28	12	85	41	22	74	31	106
Methanocellaceae	91	14	41	21	53	31	68	8	5	30	15	44	26	4	93	15	11	23	19	14	74	35	23	143
Methanocorpusculaceae	57	41	12	8	3	58	31	5	10	5	5	6	9	6	20	12	19	5	59	83	7	32	5	32
Methanomicrobiaceae	69	91	272	49	153	80	104	21	44	40	110	106	159	79	52	28	67	58	28	102	40	90	71	118
Methanoregulaceae	26	77	37	58	58	55	17	36	23	28	37	77	62	37	67	34	88	18	28	52	49	30	86	82
Methanospirillaceae	0	14	17	1	12	6	1	6	2	12	33	10	3	17	19	6	8	3	48	0	2	11	47	8
Methanosaetaceae	53	9	35	18	16	21	39	13	54	12	3	75	14	17	81	3	6	32	16	15	30	12	14	121
Methanosarcinaceae	130	248	374	267	324	310	259	125	95	146	303	340	214	415	444	196	286	116	207	589	344	289	308	267
Methanopyraceae	0	6	0	0	0	0	1	0	0	0	3	0	3	1	0	0	0	0	0	4	0	3	0	2
Thermococcaceae	378	251	252	238	359	246	285	276	122	535	460	159	347	193	315	717	878	142	952	247	288	395	84	804
Methanomassiliicoccaceae	5811	259244	45948	70882	87469	57861	10235	227	14	99739	78334	43945	66606	153968	2805	82875	53160	38489	48522	175175	158860	50278	90713	49497
Cuniculiplasmataceae	0	21	0	2	2	6	1	1	0	13	2	10	4	7	15	1	4	3	2	7	5	7	7	12
Ferroplasmaceae	0	8	4	4	1	2	1	0	0	4	1	3	0	2	0	1	5	3	1	3	2	1	0	6
Picrophilaceae	0	15	30	0	4	1	6	0	0	0	5	3	0	3	3	2	3	0	6	9	2	4	1	1
Thermoplasmataceae	0	11	3	1	0	1	2	1	0	5	3	3	1	5	1	0	1	0	6	5	25	2	6	3
Candidatus Nitrosocaldaceae	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	1	0	0	0	0
Nitrososphaeraceae	130	8	6	0	1	1	14	11	4	13	3	0	1	22	1	22	2	1	24	20	2	5	0	7
Nitrosopumilaceae	1	3	3	9	4	3	10	1	8	1	3	6	15	10	16	1	0	3	16	8	5	32	5	4
Vicinamibacteraceae	301	104	256	35	88	58	135	40	133	117	171	51	144	147	165	68	98	54	190	203	144	143	66	76
Acidobacteriaceae	1958	1107	775	966	747	1038	1091	805	1021	1079	1208	1359	886	673	1380	1561	1860	915	1827	1111	1480	847	640	1876
Solibacteraceae	137	277	212	37	134	204	218	59	20	104	308	174	153	174	349	90	196	65	71	215	345	195	195	354
Acidimicrobiaceae	17	62	36	117	29	50	22	33	61	32	41	40	70	33	20	33	26	44	25	19	214	49	50	24
Acidothermaceae	3	19	4	82	21	9	40	90	2	5	52	18	34	4	14	6	25	3	14	18	28	94	4	59
Actinomycetaceae	4977	11492	2681	3826	4620	4046	2897	38041	2859	3467	11610	5338	5542	3407	3132	6512	4239	5019	4472	9154	6954	5372	12427	8147
Actinopolysporaceae	9	18	18	31	27	53	17	25	43	8	14	68	32	16	32	53	18	13	7	61	50	24	21	47
Bifidobacteriaceae	6446	10832	4729	11078	12551	10920	4930	72044	37898	6879	7551	9051	7036	4602	5370	8706	6911	9274	7389	12284	8875	6286	35452	11779
Candidatus Nanopelagicaceae	80	65	75	85	91	103	184	78	27	36	88	113	111	36	92	20	42	74	56	65	158	151	552	60
Catenulisporaceae	133	144	62	47	41	31	90	54	57	35	165	248	85	49	181	200	32	243	88	178	65	72	139	292
Corynebacteriaceae	3332	4665	3118	5917	3459	4755	4580	7346	3206	2817	7698	6271	4498	2635	3715	4272	3166	3482	4734	8838	5305	5905	4868	7752
Dietziaceae	371	149	153	305	129	117	126	332	48	59	223	55	234	268	107	126	97	131	261	298	140	111	162	161
Gordoniaceae	127	325	260	342	645	284	292	884	280	244	297	257	367	160	421	322	262	332	278	402	610	291	433	555
Mycobacteriaceae	1413	1513	1325	1574	1454	1524	1292	3203	1221	817	1865	2237	1872	795	1744	1760	1224	1235	833	1875	1849	2201	2262	2296
Nocardiaceae	1370	1826	816	1172	1061	1346	1053	2399	1104	1216	1617	1367	1638	911	1290	1170	842	1253	1462	1808	2030	1096	1279	2253
Segniliparaceae	18	19	12	23	32	13	20	13	0	3	24	5	29	9	17	8	4	12	15	10	2	66	20	13
Tsukamurellaceae	29	137	56	114	84	138	35	206	332	433	70	53	98	57	36	42	47	75	247	48	79	60	55	49
Frankiaceae	328	352	397	493	256	732	459	582	528	271	410	794	414	196	598	886	199	392	275	542	1244	617	268	807
Geodermatophilaceae	537	291	169	213	179	256	401	244	186	119	278	348	213	167	362	315	158	110	124	310	466	262	147	556
Glycomycetaceae	74	79	49	100	144	246	119	105	110	74	111	239	206	54	74	160	120	55	46	166	79	179	281	106
Jiangellaceae	16	87	71	148	58	69	171	284	70	73	162	64	118	130	189	156	115	72	66	112	194	112	81	78
Kineosporiaceae	6	26	19	62	15	26	21	156	7	6	124	8	65	4	29	9	16	31	7	44	9	28	51	7
Beutenbergiaceae	151	160	71	30	42	45	96	476	11	41	120	72	98	31	156	18	32	70	47	136	47	42	60	230
Brevibacteriaceae	322	161	195	225	320	482	401	452	149	124	272	326	333	241	292	347	227	206	218	445	302	243	155	537
Cellulomonadaceae	122	299	94	229	224	136	133	1528	140	135	191	110	152	166	275	261	231	417	187	148	138	73	144	490
Dermabacteraceae	291	432	375	576	268	485	511	1650	513	316	620	975	378	116	498	1064	756	343	818	764	468	617	797	911
Dermacoccaceae	34	157	110	98	92	36	113	447	110	60	147	120	271	48	86	186	84	89	135	93	66	94	235	113
Dermatophilaceae	21	34	101	49	42	72	39	127	46	16	92	131	68	21	22	64	138	14	14	77	34	93	24	67
Intrasporangiaceae	191	161	169	257	219	217	135	1367	89	117	210	205	383	152	367	132	156	373	139	275	245	176	126	267
Jonesiaceae	0	5	29	3	8	101	20	9	5	4	10	7	6	8	6	6	2	9	0	43	17	123	13	13
Microbacteriaceae	3001	2605	1479	2302	1814	2020	2524	9779	1568	1559	2945	2439	2318	1381	2496	2558	1428	1915	1802	2656	2654	2385	1320	3503
Micrococcaceae	2343	1838	2042	4031	1972	1858	2196	4301	1578	1243	2719	2633	1905	1049	1837	2665	2802	1430	2754	2442	1898	2594	3094	2229
Promicromonosporaceae	117	276	179	236	61	146	207	2633	84	146	287	346	143	92	208	562	97	325	193	387	352	329	191	407
Sanguibacteraceae	22	46	18	58	40	24	42	377	49	13	31	15	19	10	23	25	8	45	99	51	51	24	3	35
Micromonosporaceae	885	1510	851	937	1036	959	1271	3028	439	478	1592	1615	1280	627	1390	1451	790	680	817	1319	1597	1390	866	1676
Nakamurellaceae	138	25	92	46	76	128	75	547	42	58	154	104	84	20	51	85	178	30	34	49	32	72	67	68
Nocardioidaceae	548	962	461	1225	769	775	638	2334	675	749	1127	908	1027	436	940	972	723	832	679	968	1328	812	608	1225
Propionibacteriaceae	2104	1566	1101	1951	1625	1379	2407	4380	1175	1456	2175	2140	1626	949	1963	1909	1231	1635	1574	2401	2447	1792	1755	2955
Pseudonocardiaceae	1243	1781	952	2035	1548	1709	1449	3283	1456	1466	2292	2136	1905	786	2310	2622	1610	1135	1934	2414	2271	1852	1073	3303
Streptomycetaceae	4224	6469	3067	4953	4630	4725	4756	14980	8209	3442	6841	6498	6884	3221	6946	8417	5932	4634	6564	6510	7596	6337	4530	8995
Nocardiopsaceae	234	280	155	202	474	192	324	631	97	210	466	262	360	927	408	337	343	259	292	320	486	309	315	507
Streptosporangiaceae	114	228	227	232	217	132	215	840	196	125	424	260	308	71	333	568	532	254	598	210	174	182	93	313
Thermomonosporaceae	154	195	69	206	141	68	139	301	32	106	187	421	157	113	225	486	37	150	242	326	387	102	165	373
Atopobiaceae	10172	6838	10742	16177	7748	16662	5571	15729	7481	75081	8078	11655	7763	5614	5452	9473	6063	302436	49590	12475	10160	8058	3642	10814
Coriobacteriaceae	65259	39609	92366	267980	3405	10352	12971	13389	33447	24738	25956	15747	63914	22674	9212	27414	42076	53138	6754	118417	190579	12821	30448	15616
Eggerthellaceae	12600	9048	4727	11657	48860	19725	6918	124192	6710	13667	10619	11480	9792	6369	9459	11100	8947	50450	16579	14870	13399	9015	17492	19302
Euzebyaceae	95	114	63	87	135	172	82	114	69	43	185	85	68	54	185	81	120	252	149	156	206	119	255	192
