Taxonomy	GXL_5075	GXL_10938	GXL_8500	GXL_5076	GXL_12940	GXL_7910	GXL_7834	GXL_7837	GXL_13164	GXL_12278	GXL_11720	GXL_4184	GXL_1936	GXL_11714	GXL_10199	GXL_9463	GXL_4092	GXL_10143	GXL_13198	GXL_1001	GXL_5777	GXL_10941	GXL_4337	GXL_4363
Candidatus Korarchaeum	0	6	0	2	15	19	0	2	0	1	2	0	13	6	30	6	13	0	3	1	0	0	11	13
Acidilobus	0	1	12	9	14	6	1	1	0	0	3	3	0	4	0	0	1	11	0	32	1	0	0	0
Caldisphaera	0	1	1	2	0	1	0	0	0	0	2	2	0	4	0	1	2	0	4	4	4	0	2	2
Desulfurococcus	1	0	0	5	0	4	0	0	0	3	3	2	0	0	1	1	0	1	2	0	1	2	1	2
Ignicoccus	0	0	0	0	3	1	0	0	2	0	0	1	3	0	3	0	0	0	0	1	0	2	0	0
Staphylothermus	0	0	0	0	22	11	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1
Thermogladius	4	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Thermosphaera	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	3	0	0
Hyperthermus	1	5	0	9	0	1	5	1	0	2	21	1	2	1	3	0	0	0	0	9	3	21	0	1
Pyrodictium	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Pyrolobus	1	4	0	0	0	0	2	0	0	0	0	0	2	0	4	1	0	0	0	5	0	11	1	1
Acidianus	1	1	5	3	0	1	3	0	1	0	0	33	0	3	1	40	0	1	0	3	42	13	3	0
Metallosphaera	0	1	0	3	2	0	0	0	0	1	2	0	0	1	0	0	1	1	1	0	3	0	0	0
Sulfolobus	4	3	8	14	5	1	3	17	0	3	6	5	5	1	2	4	0	13	1	1	3	1	3	6
Sulfurisphaera	0	0	0	0	0	0	1	0	65	0	0	0	0	0	4	0	0	0	0	1	0	0	1	0
Thermofilum	5	5	2	1	3	0	1	0	2	2	13	1	0	8	13	4	2	4	2	3	17	2	0	0
Caldivirga	0	0	1	0	0	0	11	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	2
Pyrobaculum	0	0	0	2	0	2	1	1	0	0	1	0	0	2	1	0	1	0	1	0	0	0	0	5
Thermoproteus	7	35	9	33	19	86	32	10	75	9	98	130	34	14	11	105	22	8	96	39	26	57	26	74
Vulcanisaeta	0	1	7	1	0	2	2	0	0	1	0	6	0	4	2	1	1	0	3	0	6	11	0	5
Archaeoglobus	9	129	12	52	10	10	10	7	15	4	37	52	64	4	35	31	8	27	27	122	72	36	3	221
Ferroglobus	3	1	23	2	0	0	18	1	1	0	2	17	3	3	6	2	0	2	1	1	4	19	1	5
Geoglobus	30	39	26	14	6	12	57	42	69	17	6	21	16	22	37	8	7	31	18	20	17	61	13	21
Haloarcula	62	45	23	27	5	6	28	43	4	14	27	10	4	15	18	26	31	51	10	25	13	30	17	24
Halomicrobium	15	2	9	0	1	14	10	1	2	0	35	7	9	4	1	1	1	0	5	8	12	21	0	0
Halorhabdus	6	8	32	20	30	24	47	4	4	3	56	17	47	14	29	16	39	2	7	22	12	18	21	49
Halorientalis	0	8	7	3	7	2	3	2	1	0	31	2	0	88	1	0	22	7	5	12	4	2	4	1
Natronomonas	6	10	13	6	17	18	4	1	2	0	19	3	10	5	11	17	8	4	0	3	5	113	13	9
Halalkalicoccus	43	18	5	13	20	16	19	25	0	20	11	45	1	5	66	8	3	35	2	3	21	3	3	85
Halanaeroarchaeum	10	21	40	3	3	1	14	7	7	13	54	8	0	0	8	10	3	3	5	5	3	7	22	6
Halobacterium	8	14	77	97	1	2	40	17	5	12	22	18	31	11	9	5	4	60	15	5	8	25	12	15
Halodesulfurarchaeum	1	2	6	0	0	3	3	1	2	0	7	6	1	1	4	6	0	13	3	11	1	0	6	6
Haloferax	2	92	37	39	2	11	38	14	7	3	45	8	6	11	22	27	5	176	2	60	20	9	9	61
Halogeometricum	0	1	2	3	6	0	1	0	5	1	14	5	4	4	5	7	2	0	13	6	2	0	37	6
Haloplanus	3	5	7	6	10	2	17	6	3	6	22	19	16	1	5	12	3	2	8	3	23	19	14	22
Haloquadratum	1	0	198	3	27	93	580	12	34	8	166	174	91	2	1	0	116	0	9	2	23	164	2	323
Halohasta	1	5	5	4	2	0	3	0	21	5	0	4	11	3	11	1	2	1	0	5	1	12	1	13
Halopenitus	9	11	14	8	3	4	11	11	2	3	8	107	2	16	16	84	1	27	28	105	6	7	1	62
Halorubrum	0	1	4	11	4	8	7	140	13	11	7	2	9	7	10	40	19	0	8	14	36	8	9	1
Salinigranum	2	0	5	0	1	0	8	1	0	4	4	2	1	2	0	0	1	1	1	2	5	2	5	7
Halobiforma	0	9	16	1	2	2	1	1	6	0	7	2	11	2	4	2	2	1	14	7	0	4	2	2
Halopiger	0	3	6	4	13	5	2	1	0	0	32	2	17	3	3	1	28	0	1	4	6	4	1	14
Halostagnicola	0	8	13	2	3	0	0	17	24	3	0	1	8	5	2	0	0	11	2	6	1	3	2	2
Haloterrigena	4	22	146	96	13	20	5	36	5	7	11	7	84	17	23	12	11	44	193	54	7	11	26	7
Natrialba	20	29	19	0	6	11	36	0	16	9	6	64	5	9	4	59	0	41	27	58	2	21	9	57
Natrinema	7	63	18	17	3	36	2	5	0	4	3	13	8	5	74	4	4	3	0	7	2	2	8	44
Natronobacterium	69	14	19	2	38	34	3	7	15	32	52	4	34	55	78	49	43	16	5	31	136	4	10	45
Natronococcus	0	1	17	0	4	16	3	0	0	1	5	4	36	4	0	3	1	0	4	5	5	11	0	3
Natronolimnobius	10	9	97	9	12	6	18	3	11	7	33	20	16	1	4	4	5	12	6	11	8	5	5	27
Salinarchaeum	17	31	18	21	1	9	16	2	11	4	9	15	3	7	23	2	3	0	11	12	15	25	5	30
Methanobacterium	24	28	57	50	40	57	32	11	17	9	22	150	19	30	36	40	16	23	13	67	54	66	37	28
Methanobrevibacter	5172	14323	1790	88368	29273	231088	105613	283793	6725	87244	37760	160699	25655	524156	271012	82334	64068	59551	209435	23978	115928	134044	114057	110614
Methanosphaera	4	43	19	78	146	149	22	42	16	29	55	25	46	97	22	9	27	44	38	219	78	26	56	59
Methanothermobacter	1	32	5	2	11	8	20	0	0	4	9	6	37	2	12	11	16	1	4	26	1	10	1	18
Methanothermus	0	0	2	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
Methanocaldococcus	8	1	8	27	13	4	3	5	5	5	4	1	1	3	4	0	3	60	5	10	3	5	7	6
Methanotorris	0	2	3	0	0	2	5	0	0	1	4	0	0	0	2	2	0	1	2	3	0	0	0	0
Methanococcus	35	80	124	115	66	62	125	2	12	53	308	269	30	39	54	49	27	10	54	36	22	67	31	99
Methanothermococcus	1	1	5	1	1	0	6	7	0	2	18	0	0	14	17	1	1	2	31	5	0	7	0	7
Methanocella	91	14	41	21	53	31	68	8	5	30	15	44	26	4	93	15	11	23	19	14	74	35	23	143
Methanocorpusculum	57	41	12	8	3	58	31	5	10	5	5	6	9	6	20	12	19	5	59	83	7	32	5	32
Methanoculleus	16	46	42	11	50	28	41	11	14	19	81	57	49	23	36	15	24	35	14	16	13	40	12	53
Methanofollis	12	22	84	2	17	38	40	3	8	11	17	3	40	22	8	1	24	4	9	73	4	23	6	19
Methanolacinia	25	21	85	9	6	8	10	4	3	2	10	36	11	15	3	3	8	0	2	11	5	20	51	32
Methanoplanus	16	2	45	27	80	6	13	2	19	8	2	9	58	19	5	9	11	19	3	2	18	7	0	14
Methanolinea	0	1	4	1	0	0	10	7	7	0	6	2	13	2	1	1	0	0	0	0	2	1	0	3
Methanoregula	24	73	31	54	55	54	4	19	14	26	26	75	46	33	60	23	87	6	22	43	30	25	86	77
Methanosphaerula	2	3	2	3	3	1	3	10	2	2	5	0	3	2	6	10	1	12	6	9	17	4	0	2
Methanospirillum	0	14	17	1	12	6	1	6	2	12	33	10	3	17	19	6	8	3	48	0	2	11	47	8
Methanothrix	53	9	35	18	16	21	39	13	54	12	3	75	14	17	81	3	6	32	16	15	30	12	14	121
Methanococcoides	1	25	14	20	14	32	7	1	4	9	18	21	7	22	19	4	11	2	10	17	8	9	8	16
Methanohalobium	0	9	18	2	8	22	11	2	0	10	12	4	0	9	6	2	2	21	3	13	7	12	9	2
Methanohalophilus	61	12	16	18	5	2	12	19	1	8	8	3	3	4	4	0	131	1	6	18	8	6	8	45
Methanolobus	5	10	11	0	20	1	10	5	1	4	9	28	22	4	15	8	1	2	5	8	6	11	4	4
Methanomethylovorans	16	26	25	37	91	92	76	40	1	38	48	72	20	74	12	25	17	25	35	137	113	75	101	31
Methanosalsum	3	0	9	3	2	4	2	1	0	0	0	9	6	0	1	0	0	0	0	2	0	3	1	1
Methanosarcina	43	164	281	187	182	155	118	57	88	75	173	174	149	204	385	157	112	60	148	378	197	160	170	120
Methanopyrus	0	6	0	0	0	0	1	0	0	0	3	0	3	1	0	0	0	0	0	4	0	3	0	2
Palaeococcus	0	24	27	0	4	4	9	0	3	109	4	0	0	0	0	1	4	0	0	1	6	1	0	4
Pyrococcus	2	6	7	0	7	2	1	1	5	12	10	4	0	11	5	1	3	5	2	13	5	4	5	2
Thermococcus	376	218	211	209	346	224	268	271	102	414	417	152	341	177	299	702	871	135	943	214	265	211	79	798
Candidatus Methanomethylophilus	5779	258199	44292	70614	87196	57413	9584	185	14	99297	78003	43390	66388	153140	2077	82674	52954	38334	47989	174545	158397	49644	90017	48795
Candidatus Methanoplasma	27	787	1332	208	198	349	520	31	0	345	270	442	178	657	568	148	166	118	435	523	370	508	556	559
Methanomassiliicoccus	5	179	139	49	54	74	51	10	0	67	27	76	23	91	128	29	22	27	51	56	54	69	83	94
Cuniculiplasma	0	21	0	2	2	6	1	1	0	13	2	10	4	7	15	1	4	3	2	7	5	7	7	12
Ferroplasma	0	8	4	4	1	2	1	0	0	4	1	3	0	2	0	1	5	3	1	3	2	1	0	6
Picrophilus	0	15	30	0	4	1	6	0	0	0	5	3	0	3	3	2	3	0	6	9	2	4	1	1
Thermoplasma	0	11	3	1	0	1	2	1	0	5	3	3	1	5	1	0	1	0	6	5	25	2	6	3
Aciduliprofundum	2	10	2	4	3	2	2	0	0	8	9	10	3	2	6	4	0	3	4	3	2	0	1	4
Candidatus Nitrosocaldus	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	1	0	0	0	0
Nitrososphaera	130	8	6	0	1	1	14	11	4	13	3	0	1	22	1	22	2	1	24	20	2	5	0	7
Candidatus Nitrosopelagicus	0	0	10	0	0	0	2	0	0	0	3	3	0	0	1	0	0	0	1	4	1	13	1	0
Candidatus Nitrosotenuis	6	0	18	0	0	0	1	0	1	2	3	0	1	0	0	0	0	4	0	2	1	0	1	0
Candidatus Nitrosomarinus	1	0	1	0	0	0	0	0	0	0	0	1	0	4	2	0	0	0	0	0	0	0	0	0
Nitrosopumilus	0	3	2	9	4	3	10	1	8	1	0	5	15	4	10	1	0	3	16	8	5	25	5	4
Thermobaculum	21	79	79	33	42	71	19	3	7	190	13	9	10	15	21	12	22	8	3	30	14	22	29	25
Luteitalea	301	104	256	35	88	58	135	40	133	117	171	51	144	147	165	68	98	54	190	203	144	143	66	76
Acidobacterium	566	47	67	124	84	48	101	124	26	47	157	123	39	119	141	101	52	95	106	80	136	39	144	359
Candidatus Koribacter	236	433	98	120	64	69	175	44	19	61	170	130	55	95	90	36	154	404	20	122	172	37	116	85
Granulicella	400	164	245	367	209	613	487	197	694	324	259	794	239	145	481	679	153	198	171	435	692	468	139	666
