Taxonomy	GXL_5075	GXL_10938	GXL_8500	GXL_5076	GXL_12940	GXL_7910	GXL_7834	GXL_7837	GXL_13164	GXL_12278	GXL_11720	GXL_4184	GXL_1936	GXL_11714	GXL_10199	GXL_9463	GXL_4092	GXL_10143	GXL_13198	GXL_1001	GXL_5777	GXL_10941	GXL_4337	GXL_4363
Acidilobales	0	2	13	11	14	7	1	1	0	0	5	5	0	8	0	1	3	11	4	36	5	0	2	2
Desulfurococcales	7	9	4	14	25	19	7	2	2	7	24	4	7	7	11	2	6	2	2	16	4	39	2	6
Sulfolobales	5	5	13	20	7	2	7	17	66	4	8	38	5	5	7	44	1	15	2	5	48	14	7	6
Thermoproteales	12	41	19	37	22	90	47	11	77	12	115	138	34	28	27	110	26	12	102	43	49	70	26	86
Archaeoglobales	42	169	61	68	16	22	85	50	85	21	45	90	83	29	78	41	15	60	46	143	93	118	17	247
Halobacteriales	162	148	222	184	113	115	175	165	34	88	280	126	124	155	232	213	144	183	210	114	145	221	109	241
Haloferacales	21	117	279	75	55	118	666	188	87	41	267	323	143	51	74	173	156	214	70	201	121	225	78	498
Natrialbales	130	206	388	160	102	140	100	153	129	75	162	139	233	123	241	174	108	144	263	219	231	97	69	240
Methanobacteriales	5203	14437	1875	88503	29471	231305	105687	283923	6759	87316	37846	160882	25761	524290	271083	82394	64130	59623	209491	24290	116062	134155	114155	110724
Methanococcales	44	84	140	143	80	68	140	14	17	61	334	270	32	56	77	52	31	73	92	54	25	79	38	112
Methanocellales	91	14	41	21	53	31	68	8	5	30	15	44	26	4	93	15	11	23	19	14	74	35	23	143
Methanomicrobiales	153	234	338	117	229	203	159	68	79	85	189	202	234	141	160	83	187	100	163	242	98	163	212	244
Methanosarcinales	183	257	409	285	340	331	298	138	149	158	306	415	228	432	525	199	292	148	223	604	374	301	322	388
Methanopyrales	0	6	0	0	0	0	1	0	0	0	3	0	3	1	0	0	0	0	0	4	0	3	0	2
Thermococcales	378	251	252	238	359	246	285	276	122	535	460	159	347	193	315	717	878	142	952	247	288	395	84	804
Methanomassiliicoccales	5811	259244	45948	70882	87469	57861	10235	227	14	99739	78334	43945	66606	153968	2805	82875	53160	38489	48522	175175	158860	50278	90713	49497
Thermoplasmatales	31	567	1989	170	224	374	836	40	8	359	322	597	208	789	509	184	338	194	563	582	568	1356	766	787
Candidatus Nitrosocaldales	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	1	0	0	0	0
Nitrososphaerales	130	8	6	0	1	1	14	11	4	13	3	0	1	22	1	22	2	1	24	20	2	5	0	7
Nitrosopumilales	1	3	3	9	4	3	10	1	8	1	3	6	15	10	16	1	0	3	16	8	5	32	5	4
Acidobacteriales	1958	1107	775	966	747	1038	1091	805	1021	1079	1208	1359	886	673	1380	1561	1860	915	1827	1111	1480	847	640	1876
Solibacterales	137	277	212	37	134	204	218	59	20	104	308	174	153	174	349	90	196	65	71	215	345	195	195	354
Acidimicrobiales	17	62	36	117	29	50	22	33	61	32	41	40	70	33	20	33	26	44	25	19	214	49	50	24
Acidothermales	3	19	4	82	21	9	40	90	2	5	52	18	34	4	14	6	25	3	14	18	28	94	4	59
Actinomycetales	4977	11492	2681	3826	4620	4046	2897	38041	2859	3467	11610	5338	5542	3407	3132	6512	4239	5019	4472	9154	6954	5372	12427	8147
Actinopolysporales	9	18	18	31	27	53	17	25	43	8	14	68	32	16	32	53	18	13	7	61	50	24	21	47
Bifidobacteriales	6446	10832	4729	11078	12551	10920	4930	72044	37898	6879	7551	9051	7036	4602	5370	8706	6911	9274	7389	12284	8875	6286	35452	11779
Candidatus Nanopelagicales	80	65	75	85	91	103	184	78	27	36	88	113	111	36	92	20	42	74	56	65	158	151	552	60
Catenulisporales	133	144	62	47	41	31	90	54	57	35	165	248	85	49	181	200	32	243	88	178	65	72	139	292
Corynebacteriales	7436	9142	6224	9784	7269	8679	8020	25284	6450	5852	12550	10929	9394	5246	7761	8228	6147	6748	8134	13831	10630	10420	9595	13945
Frankiales	340	365	425	497	274	733	466	676	531	278	418	820	442	213	603	905	218	403	297	575	1272	619	279	824
Geodermatophilales	537	291	169	213	179	256	401	244	186	119	278	348	213	167	362	315	158	110	124	310	466	262	147	556
Glycomycetales	74	79	49	100	144	246	119	105	110	74	111	239	206	54	74	160	120	55	46	166	79	179	281	106
Jiangellales	16	87	71	148	58	69	171	284	70	73	162	64	118	130	189	156	115	72	66	112	194	112	81	78
Kineosporiales	6	26	19	62	15	26	21	156	7	6	124	8	65	4	29	9	16	31	7	44	9	28	51	7
Micrococcales	7348	6681	5121	8777	5489	6015	7112	27263	4683	4023	8215	7767	6885	3582	6804	8314	6453	5953	6796	7989	7028	7159	6578	9554
Micromonosporales	885	1510	851	937	1036	959	1271	3028	439	478	1592	1615	1280	627	1390	1451	790	680	817	1319	1597	1390	866	1676
Nakamurellales	138	25	92	46	76	128	75	547	42	58	154	104	84	20	51	85	178	30	34	49	32	72	67	68
Propionibacteriales	2739	2620	1618	3282	2475	2221	3109	6818	1850	2229	3362	3098	2808	1413	2975	2915	1983	2508	2312	3433	3876	2631	2404	4308
Pseudonocardiales	1243	1781	952	2035	1548	1709	1449	3283	1456	1466	2292	2136	1905	786	2310	2622	1610	1135	1934	2414	2271	1852	1073	3303
Streptomycetales	4224	6469	3067	4953	4630	4725	4756	14980	8209	3442	6841	6498	6884	3221	6946	8417	5932	4634	6564	6510	7596	6337	4530	8995
Streptosporangiales	525	713	452	642	834	393	692	1776	329	442	1096	948	836	1113	970	1393	913	663	1136	859	1047	597	574	1196
Coriobacteriales	76374	47292	104051	286180	11649	27430	19070	29558	41327	100272	34913	28522	72660	28809	15354	38080	48695	358900	57065	132423	202227	21730	34493	27641
Eggerthellales	12600	9048	4727	11657	48860	19725	6918	124192	6710	13667	10619	11480	9792	6369	9459	11100	8947	50450	16579	14870	13399	9015	17492	19302
Euzebyales	95	114	63	87	135	172	82	114	69	43	185	85	68	54	185	81	120	252	149	156	206	119	255	192
Rubrobacterales	653	138	289	398	184	171	530	236	43	84	307	231	230	72	282	291	283	66	115	122	262	308	340	406
Solirubrobacterales	13	104	53	208	47	36	73	276	47	68	146	97	103	102	99	242	83	84	39	152	319	79	118	115
Aquificales	53	41	190	45	127	124	167	44	126	91	92	70	74	53	69	120	10	40	76	77	222	185	67	63
Desulfurobacteriales	38	68	40	12	194	115	88	200	26	251	122	66	70	63	247	537	518	105	29	41	23	111	70	389
Chthonomonadales	155	100	61	57	141	123	74	16	23	19	67	129	72	127	63	22	105	27	42	215	35	141	185	79
Fimbriimonadales	21	35	20	26	13	8	32	235	3	5	41	17	21	101	14	180	48	5	21	27	113	18	44	25
Bacteroidales	2767581	3886077	435366	3202826	1973956	1787627	642002	4868177	3702716	6703792	548809	406651	2997173	1294007	2392019	1433115	1731251	1826414	2656212	2524048	1782083	239134	4120333	1413918
Marinilabiliales	750	712	733	755	463	518	1084	974	627	602	430	403	488	608	1985	266	528	453	835	921	626	543	2288	776
Chitinophagales	1539	1575	1638	696	1118	992	1666	1195	1754	1947	1171	737	1063	1397	2292	488	1067	567	1728	1508	1241	1159	2791	1357
Cytophagales	21374	9364	10272	4245	6825	7190	15554	6276	11283	8747	9185	9010	7918	6467	9422	8759	11891	4098	12874	11310	5192	8354	10116	17186
Flavobacteriales	87569	39323	50488	39173	26488	27019	63915	30774	45101	43087	28281	30044	19301	29631	37314	18453	27294	18943	51764	32821	15127	27441	57597	43070
Saprospirales	520	221	352	91	105	143	284	258	151	114	147	156	100	118	580	67	415	58	175	227	143	202	779	344
Sphingobacteriales	3610	1932	2093	1804	1829	1267	2400	1973	2343	1374	1576	1899	1532	1576	4156	1512	3131	903	2849	2436	1575	1645	4420	2560
Bacteroidetes Order II. Incertae sedis	760	1064	722	514	859	720	863	1850	947	726	731	656	618	549	939	721	801	568	676	1279	903	663	731	1386
Caldisericales	0	1	10	17	98	11	97	0	0	3	16	7	2	9	0	17	1	22	2	5	2	130	0	1
Calditrichales	136	130	157	42	121	149	166	53	38	125	79	217	80	80	158	55	44	142	142	124	96	106	130	230
Chlamydiales	143	166	63	185	75	96	231	69	45	89	139	95	96	24195	96	65	101	32	96	93	113	89	51	116
Parachlamydiales	51	118	94	68	63	98	75	160	127	287	66	79	34	34	80	58	23	70	236	95	121	137	60	27
Chlorobiales	2351	1546	1195	1020	1169	1972	1953	855	1959	1683	1776	2057	1532	1269	1424	2117	1615	849	2586	2137	2096	1892	1334	3417
Anaerolineales	135	648	242	492	331	460	310	199	225	275	605	430	748	207	417	662	301	376	315	613	681	401	291	554
Ardenticatenales	40	182	121	188	202	155	97	92	130	40	239	163	246	90	135	216	130	134	274	170	249	194	155	197
Caldilineales	47	129	74	68	94	81	82	143	29	48	142	81	189	66	95	77	50	51	67	121	119	208	192	220
Chloroflexales	162	677	326	267	259	274	250	250	288	330	364	204	523	434	491	152	370	197	487	342	670	317	1145	750
Dehalococcoidales	323	709	1228	1589	4049	2862	329	451	256	575	509	716	713	179	312	3380	917	699	445	906	1336	719	1604	545
Sphaerobacterales	179	128	63	202	191	65	108	350	66	43	124	112	195	48	223	73	134	79	128	104	154	76	162	233
Thermomicrobiales	45	101	427	86	39	192	84	51	156	72	76	239	146	60	65	195	74	74	75	156	131	249	112	154
Chrysiogenales	79	112	74	73	73	130	96	60	120	57	132	141	108	109	85	96	38	19	130	115	81	96	90	144
Coprothermobacterales	2	3	27	2	3	5	7	0	2	5	10	2	0	2	9	3	0	1	2	2	2	12	7	4
Gloeobacterales	219	157	159	124	208	96	182	85	69	132	130	186	263	219	372	187	172	78	149	167	319	145	115	395
Chroococcales	102	96	490	147	106	243	869	62	164	85	332	504	343	149	237	55	99	131	165	149	148	414	137	615
