ID	micro	redundance	grp
GXH_2074	Actinobacteria	2.53114	GXH
GXH_2074	Bacteroidetes	19.85028	GXH
GXH_2074	Euryarchaeota	2.30178	GXH
GXH_2074	Firmicutes	54.81092	GXH
GXH_2074	Others	0.84189	GXH
GXH_2074	Proteobacteria	18.2349	GXH
GXH_2074	Synergistetes	1.42907	GXH
GXH_3303	Actinobacteria	2.4565	GXH
GXH_3303	Bacteroidetes	23.3858	GXH
GXH_3303	Euryarchaeota	1.61821	GXH
GXH_3303	Firmicutes	54.71379	GXH
GXH_3303	Others	0.08691	GXH
GXH_3303	Proteobacteria	16.05643	GXH
GXH_3303	Synergistetes	1.68236	GXH
GXH_3593	Bacteroidetes	53.94157	GXH
GXH_3593	Euryarchaeota	7.90722	GXH
GXH_3593	Firmicutes	18.68253	GXH
GXH_3593	Others	0.90468	GXH
GXH_3593	Proteobacteria	10.10567	GXH
GXH_3593	Synergistetes	7.1922	GXH
GXH_3593	Verrucomicrobia	1.26612	GXH
GXH_2631	Bacteroidetes	78.42053	GXH
GXH_2631	Firmicutes	9.93447	GXH
GXH_2631	Others	1.91014	GXH
GXH_2631	Proteobacteria	9.73483	GXH
GXH_2742	Bacteroidetes	64.81691	GXH
GXH_2742	Euryarchaeota	3.65885	GXH
GXH_2742	Firmicutes	22.6604	GXH
GXH_2742	Others	1.79342	GXH
GXH_2742	Proteobacteria	7.07043	GXH
GXH_4036	Actinobacteria	2.86468	GXH
GXH_4036	Bacteroidetes	41.04593	GXH
GXH_4036	Euryarchaeota	1.43755	GXH
GXH_4036	Firmicutes	24.73044	GXH
GXH_4036	Others	0.52412	GXH
GXH_4036	Proteobacteria	26.82775	GXH
GXH_4036	Synergistetes	2.56954	GXH
GXH_1390	Actinobacteria	4.08207	GXH
GXH_1390	Bacteroidetes	29.85993	GXH
GXH_1390	Euryarchaeota	1.24026	GXH
GXH_1390	Firmicutes	42.36459	GXH
GXH_1390	Others	0.0463	GXH
GXH_1390	Proteobacteria	4.20389	GXH
GXH_1390	Spirochaetes	2.59408	GXH
GXH_1390	Synergistetes	15.60888	GXH
GXH_3170	Bacteroidetes	70.59731	GXH
GXH_3170	Firmicutes	22.89617	GXH
GXH_3170	Others	1.59624	GXH
GXH_3170	Proteobacteria	4.91028	GXH
