ID	Breed	Line	RawReads	CleanReads	Q20	Q30
GXL_7910	Duroc	GXL	69608788	64403456	98.2	94.6
GXL_5076	Duroc	GXL	69888510	64300224	98.04	94.14
GXL_9463	Duroc	GXL	72602004	55989702	98.16	94.54
GXL_7837	Duroc	GXL	71649922	67933420	98.17	94.53
GXL_11714	Duroc	GXL	65556022	54759570	98.37	94.91
GXL_10199	Duroc	GXL	79625520	73821678	98.3	94.76
GXL_12278	Duroc	GXL	72577058	66464108	98.21	94.57
GXL_10941	Duroc	GXL	62364500	58631152	98.14	94.46
GXL_7834	Duroc	GXL	71203366	67531802	97.32	92.59
GXL_4184	Duroc	GXL	67804886	60918924	98.37	95.05
GXL_4363	Duroc	GXL	88748118	77401226	98.51	95.39
GXL_13198	Duroc	GXL	85544810	77076642	98.21	94.58
GXL_11720	Duroc	GXL	68423640	62669492	98.19	94.57
GXL_8500	Duroc	GXL	59879420	53120226	98.63	95.69
GXL_10938	Duroc	GXL	80602640	75281500	98.23	94.59
GXL_1001	Duroc	GXL	77093868	69509494	98.48	95.3
GXL_5777	Duroc	GXL	73420786	68269438	98.3	94.82
GXL_4337	Duroc	GXL	79526554	74240178	98.22	94.56
GXL_13164	Duroc	GXL	65510898	60727204	97.85	93.78
GXL_10143	Duroc	GXL	61837138	57437588	98.33	94.83
GXL_12940	Duroc	GXL	76440024	64732352	97.96	93.97
GXL_1936	Duroc	GXL	69604182	65572540	97.82	93.68
GXL_4092	Duroc	GXL	63535154	58471136	98.23	94.69
GXL_5075	Duroc	GXL	78751388	73354086	98.36	94.98
GXH_1389	Duroc	GXH	63718638	59113030	98.03	94.18
GXH_3384	Duroc	GXH	64465592	59632446	98.35	94.96
GXH_695	Duroc	GXH	61704454	57601024	98.19	94.57
GXH_3806	Duroc	GXH	79575402	64495168	98.27	94.75
GXH_913	Duroc	GXH	34409462	60230296	98.24	94.71
GXH_3171	Duroc	GXH	38258997	70049758	98.33	94.89
GXH_2520	Duroc	GXH	35020099	66027480	98.15	94.46
GXH_3174	Duroc	GXH	39089033	69581626	98.29	94.82
GXH_3392	Duroc	GXH	31923960	58742698	98.4	95.02
GXH_1176	Duroc	GXH	43879241	81049650	98.37	95
GXH_2741	Duroc	GXH	31777216	59399316	98.31	94.85
GXH_1635	Duroc	GXH	41087738	74647504	98.45	95.21
GXH_1634	Duroc	GXH	32314675	60231536	98.37	95
GXH_2301	Duroc	GXH	34861263	66099984	98.2	94.59
GXH_1860	Duroc	GXH	86403384	55965764	98.21	94.62
GXH_3170	Duroc	GXH	61569914	50616172	98.49	95.36
GXH_1390	Duroc	GXH	83791048	79627766	98.33	94.9
GXH_4036	Duroc	GXH	74651362	70149926	98.2	94.6
GXH_2742	Duroc	GXH	73187598	31596540	98.14	94.39
GXH_2631	Duroc	GXH	68960256	61686604	98.38	95.02
GXH_3593	Duroc	GXH	65598750	53902086	98.47	95.22
GXH_3303	Duroc	GXH	71885020	68288290	98.27	94.73
GXH_2074	Duroc	GXH	77190660	72115630	98.26	94.69
