Taxonomy	GXH_3171	GXH_2742	GXH_1176	GXH_3170	GXH_3392	GXH_3174	GXH_1634	GXH_2301	GXH_2741	GXH_3384	GXH_2520	GXH_1635	GXH_913	GXH_1390	GXH_2631	GXH_4036	GXH_1860	GXH_3303	GXH_2074	GXH_3806	GXH_3593	GXH_695	GXH_1389
Candidatus Korarchaeota	0	1	0	3	2	2	23	0	1	0	16	1	0	20	1	2	0	0	0	0	0	0	0
Candidatus Micrarchaeota	284	19	0	0	3	0	5	1	0	4	1	0	12	0	0	0	0	0	0	0	2	12	0
Crenarchaeota	32	32	62	45	52	134	44	142	88	66	56	56	101	68	65	30	31	81	101	125	60	61	164
Euryarchaeota	283891	117960	215468	29142	280373	115081	332305	247734	352179	19375	11516	439485	104472	288208	114170	279787	146225	235008	267066	113191	303480	37799	81175
Thaumarchaeota	6	6	6	39	30	8	38	14	3	18	8	10	30	8	9	9	13	6	32	5	4	27	8
Acidobacteria	1466	646	2570	2120	1212	2339	1476	2028	1404	1693	2212	1496	1695	2837	1325	1826	1903	1359	1519	1188	1818	2140	1993
Actinobacteria	176363	47963	286507	70537	90614	110889	107144	85713	81631	95065	123723	254400	162242	239318	177235	149868	117970	93095	119286	89574	89094	222845	300402
Aquificae	609	40	174	209	217	148	259	297	285	158	111	254	224	721	235	352	168	416	185	113	414	153	157
Armatimonadetes	97	26	300	122	142	170	120	151	201	80	320	293	113	192	135	106	105	61	304	110	46	107	178
Bacteroidetes	550338	3090693	387335	742344	1894510	789007	1386109	805201	344009	449702	5475669	1670535	310205	1011535	3342168	3520611	687671	828413	1545598	3152558	3354599	399522	410839
Caldiserica	52	1	5	115	6	1	0	4	33	9	1	3	25	35	0	1	1	8	4	1	0	0	1
Calditrichaeota	65	83	100	85	72	97	122	130	42	215	61	121	116	110	95	77	32	168	158	124	79	193	146
Candidatus Cloacimonetes	45	0	39	77	24	22	13	17	9	41	14	73	56	37	42	8	17	19	20	41	26	92	66
Candidatus Gracilibacteria	36	0	18	18	7	8	3	4	5	6	4	11	13	8	1	3	0	5	0	31	3	1	10
Candidatus Saccharibacteria	87	8	115	82	27	45	11	35	24	48	19	16	27	34	3	39	23	63	74	59	8	21	126
Chlamydiae	182	48	289	246	176	137	265	154	161	176	79	302	335	297	398	169	97	97	235	112	120	190	254
Chlorobi	1994	719	2139	2058	911	1388	1793	2044	1705	1398	1178	2355	1623	2483	2604	1965	1466	2269	2111	1852	1580	1922	1814
Chloroflexi	1968	743	4765	996	1972	3391	2182	2069	2223	1534	2720	2832	2113	3332	1233	1299	1657	2173	2818	2578	1696	2049	2058
Chrysiogenetes	200	28	132	83	70	149	108	90	95	106	257	106	145	120	158	100	24	114	172	181	50	121	60
Coprothermobacterota	12	2	58	32	3	24	28	13	7	16	0	1	13	4	62	4	4	16	7	2	4	18	1
Cyanobacteria	10136	1795	7102	17234	4216	7217	5036	8136	3982	11196	4563	5546	10531	5109	4772	2766	10366	5273	5498	4952	3373	6926	8722
Deferribacteres	143	36	155	113	602	207	127	115	124	171	87	204	220	115	79	48	150	79	292	81	99	185	203
Deinococcus-Thermus	4405	1630	8793	3492	3210	6686	4760	6425	4005	3780	5777	4838	4248	5357	2650	2308	6381	5304	4124	5201	2236	4222	4237
Dictyoglomi	90	22	74	22	385	149	23	27	80	76	31	32	33	37	17	16	49	45	40	77	18	67	163
Elusimicrobia	79	703	436	3342	70	658	68	30	126	2180	123	54	151	184	360	394	142	81	379	346	81	2306	152
Fibrobacteres	168	63	181	662	105	193	654	3642	624	1122	264	919	1368	1133	118	73	197	348	380	130	84	403	256
Firmicutes	953919	670423	2072451	1001657	1436219	1539613	1756413	1700373	948957	1225523	1536779	1190839	888259	1801655	983076	2905737	1058309	1192448	2280382	1121092	1097866	1055283	1423097
Fusobacteria	829	1262	3116	4536	2526	796	449	777	1976	923	451	707	842	899	8714	88706	2118	2032	10199	895	9682	600	983
Gemmatimonadetes	460	196	836	441	297	807	677	577	292	331	1081	463	441	430	284	397	906	395	246	495	349	529	404
Ignavibacteriae	140	94	146	112	504	170	47	155	134	181	30	82	120	70	49	30	88	84	103	81	36	169	147
Kiritimatiellaeota	281	143	187	530	136	203	290	234	284	476	193	192	254	299	145	60	298	433	350	384	75	182	318
