Taxonomy	GXH_3171	GXH_2742	GXH_1176	GXH_3170	GXH_3392	GXH_3174	GXH_1634	GXH_2301	GXH_2741	GXH_3384	GXH_2520	GXH_1635	GXH_913	GXH_1390	GXH_2631	GXH_4036	GXH_1860	GXH_3303	GXH_2074	GXH_3806	GXH_3593	GXH_695	GXH_1389
Candidatus Korarchaeum cryptofilum	0	1	0	3	2	2	23	0	1	0	16	1	0	20	1	2	0	0	0	0	0	0	0
Candidatus Micrarchaeota archaeon Mia14	284	19	0	0	3	0	5	1	0	4	1	0	12	0	0	0	0	0	0	0	2	12	0
Acidilobus saccharovorans	0	0	12	3	0	0	0	2	0	0	2	0	4	8	0	0	0	1	59	2	0	2	0
Acidilobus sp. 7A	1	0	5	0	2	3	1	2	0	0	2	1	0	1	0	0	1	2	0	0	0	0	0
Caldisphaera lagunensis	1	0	0	0	10	1	0	1	2	1	1	0	1	0	0	1	5	0	2	1	0	1	3
Desulfurococcus amylolyticus	0	2	1	11	0	0	1	0	0	1	0	0	2	0	9	0	4	2	2	0	0	0	4
Desulfurococcus mucosus	3	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	3	0	0	0	2
Ignicoccus hospitalis	0	6	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	4	0	0	0	0
Ignicoccus islandicus	0	0	0	0	6	5	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Staphylothermus hellenicus	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	2	0	1
Staphylothermus marinus	0	0	0	0	0	0	0	0	0	4	1	0	0	1	0	3	1	0	0	0	0	0	0
Thermogladius calderae	0	0	0	2	1	0	0	3	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0
Thermosphaera aggregans	0	0	1	0	0	2	0	1	3	4	0	0	0	0	0	0	0	0	3	0	0	1	0
Hyperthermus butylicus	1	0	8	1	16	0	4	11	11	5	3	8	9	1	0	2	0	3	0	1	3	1	3
Pyrodictium delaneyi	0	0	0	0	0	0	3	0	0	0	0	0	2	1	0	0	1	0	0	1	0	3	0
Pyrolobus fumarii	1	0	3	1	0	12	0	2	0	1	21	0	1	0	0	2	0	0	0	2	0	3	0
Acidianus brierleyi	0	3	0	0	0	0	12	24	0	0	1	16	12	0	1	0	0	0	2	0	6	1	44
Acidianus hospitalis	0	1	0	1	6	2	0	0	0	0	3	0	3	0	1	2	0	0	0	0	1	3	0
Acidianus sulfidivorans	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0
Metallosphaera cuprina	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
Metallosphaera hakonensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Metallosphaera sedula	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Sulfolobus acidocaldarius	0	0	0	0	0	0	0	1	4	1	0	0	2	0	0	0	2	0	1	0	2	0	0
Sulfolobus islandicus	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Sulfolobus solfataricus	2	0	13	0	3	15	1	0	1	10	3	0	1	2	0	0	3	9	1	2	1	10	17
Sulfolobus sp. A20	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0
Sulfurisphaera tokodaii	1	0	0	1	0	1	0	0	0	0	0	0	5	0	0	0	4	1	2	0	1	0	2
Thermofilum adornatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermofilum carboxyditrophus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermofilum pendens	0	2	0	1	0	1	1	1	15	0	1	1	0	3	0	0	0	0	0	0	1	5	0
Thermofilum uzonense	0	0	1	0	0	0	5	1	0	0	8	1	1	0	3	1	4	0	0	1	0	1	0
Caldivirga maquilingensis	1	0	0	0	0	2	1	7	0	3	0	3	5	0	1	0	0	0	1	0	0	0	1
Pyrobaculum islandicum	0	0	0	1	4	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1
Thermoproteus tenax	4	0	2	0	0	0	5	0	2	1	1	8	1	32	0	7	0	0	0	107	3	17	47
