Taxonomy	GXH_2074	GXH_3303	GXH_3593	GXH_2631	GXH_2742	GXH_4036	GXH_1390	GXH_3170	GXH_1860	GXH_2301	GXH_1634	GXH_1635	GXH_2741	GXH_1176	GXH_3392	GXH_3174	GXH_2520	GXH_3171	GXH_913	GXH_3806	GXH_695	GXH_3384	GXH_1389
Euryarchaeota	2.30178	1.61821	7.90722	0.90987	3.65885	1.43755	1.24026	0.08542	7.46655	5.77614	8.81334	5.66065	5.09252	4.45976	1.06134	0.55451	0.10319	8.03736	2.29577	3.37242	0.4518	0.08793	1.61479
Actinobacteria	2.53114	2.4565	0.79004	0.53456	0.9599	2.86468	4.08207	0.69949	3.44846	0.19735	1.0781	6.03575	1.88339	9.38705	1.1708	0.64246	0.75756	8.1297	5.5322	0.32059	10.57889	1.97963	8.29674
Bacteroidetes	19.85028	23.3858	53.94157	78.42053	64.81691	41.04593	29.85993	70.59731	24.05737	41.62145	26.42667	68.87166	16.6504	13.0155	17.70834	19.75895	60.87434	16.41364	24.49714	50.41825	20.89127	65.39823	49.80747
Chlamydiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibrobacteres	0	0.00888	0	0	0	0	0.02948	0	0.0014	0.08674	0.00689	0.00234	0	0	0	0	0	0	0.07602	0	0.00439	0	0
Firmicutes	54.81092	54.71379	18.68253	9.93447	22.6604	24.73044	42.36459	22.89617	51.75223	41.71185	53.61931	15.64172	60.57842	63.2368	76.02067	59.62551	25.21524	53.01679	50.39566	30.43145	57.24818	26.55882	36.5558
Fusobacteria	0.00521	0	0.10023	0.01299	0	0.50949	0	0	0.01536	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lentisphaerae	0	0.00129	0.01441	0.02875	0.01589	0.00331	0.01682	0.05498	0	0	0	0	0.43724	0	0.0317	0.00366	0.24173	0	0	0.04804	0	0	0
Proteobacteria	18.2349	16.05643	10.10567	9.73483	7.07043	26.82775	4.20389	4.91028	7.54269	3.68043	6.24345	3.06238	8.78641	9.30558	3.6162	17.69822	2.94791	10.32407	4.60824	2.64926	6.50147	3.94227	2.13021
Spirochaetes	0.83668	0.07674	0	0.00179	0	0.01132	2.59408	0	0	2.9406	0.30178	0.52026	0.91046	0.09797	0.25011	0.88077	0.01099	0.02176	12.40881	3.36284	3.61608	1.16907	0.59033
Synergistetes	1.42907	1.68236	7.1922	0.42218	0.81763	2.56954	15.60888	0.75635	5.71594	3.98544	3.51046	0.20525	5.66117	0.49735	0.11705	0.83591	3.32142	4.05667	0.18616	9.39715	0.70792	0.86405	1.00468
Tenericutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Verrucomicrobia	0	0	1.26612	0	0	0	0	0	0	0	0	0	0	0	0.02377	0	6.52761	0	0	0	0	0	0
Eukaryota_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
