Taxonomy	GXH_2074	GXH_3303	GXH_3593	GXH_2631	GXH_2742	GXH_4036	GXH_1390	GXH_3170	GXH_1860	GXH_2301	GXH_1634	GXH_1635	GXH_2741	GXH_1176	GXH_3392	GXH_3174	GXH_2520	GXH_3171	GXH_913	GXH_3806	GXH_695	GXH_3384	GXH_1389
Methanobrevibacter_smithii	2.30178	1.61821	7.90722	0.90987	3.65885	1.43755	1.24026	0.08542	7.46655	5.77614	8.81334	5.66065	5.09252	4.45976	1.06134	0.55451	0.10319	8.03736	2.29577	3.37242	0.4518	0.08793	1.61479
Actinomyces_denticolens	0	0	0	0	0	0	0.30715	0.01704	0.02871	0	0	0	0.53564	0.26669	0.02222	0	0	0.05801	0	0.01712	0.00636	0	0.02556
Actinomyces_nasicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_adolescentis	0	0	0	0	0	0.11973	1.26212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_animalis	0.19377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_boum	0	0	0	0.01365	0	0	0.01289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_mongoliense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_pseudolongum	0	0	0.38341	0.06075	0	0	0.03367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_thermacidophilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02678	0	0	0	0	0	0
Bifidobacterium_thermophilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_tsurumiense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0148	0.68579	0	0	0	0	0	0
Corynebacterium_ammoniagenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_amycolatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_casei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_efficiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_flavescens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_freneyi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_glutamicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_maris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_nuruki	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_pollutisoli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_stationis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_testudinoris	0	0	0	0	0	0	0.00167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_urealyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_variabile	0	0	0	0	0	0	0.00077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_xerosis	0	0	0	0	0	0	0.0086	0	0	0	0	0	0	0.01469	0	0	0	0	0	0	0	0	0
Lawsonella_clevelandensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dietzia_alimentaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dietzia_cinnamea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dietzia_maris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodococcus_biphenylivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodococcus_hoagii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodococcus_pyridinivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brevibacterium_iodinum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brachybacterium_muris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enteractinococcus_helveticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glutamicibacter_mysorens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glutamicibacter_soli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kocuria_palustris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micrococcus_aloeverae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micrococcus_luteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micrococcus_lylae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
