Taxonomy	GXL_5075	GXL_10938	GXL_8500	GXL_5076	GXL_12940	GXL_7910	GXL_7834	GXL_7837	GXL_13164	GXL_12278	GXL_11720	GXL_4184	GXL_1936	GXL_11714	GXL_10199	GXL_9463	GXL_4092	GXL_10143	GXL_13198	GXL_1001	GXL_5777	GXL_10941	GXL_4337	GXL_4363
Thermoprotei	29	57	52	105	68	118	67	32	145	23	152	185	50	48	49	157	36	50	114	109	110	123	41	107
Archaeoglobi	42	169	61	68	16	22	85	50	85	21	45	90	83	29	78	41	15	60	46	143	93	118	17	247
Halobacteria	335	521	930	538	280	409	964	549	274	214	818	595	619	344	623	589	424	569	582	633	514	696	282	1001
Methanobacteria	5203	14437	1875	88503	29471	231305	105687	283923	6759	87316	37846	160882	25761	524290	271083	82394	64130	59623	209491	24290	116062	134155	114155	110724
Methanococci	44	84	140	143	80	68	140	14	17	61	334	270	32	56	77	52	31	73	92	54	25	79	38	112
Methanomicrobia	427	507	797	423	623	565	528	214	233	274	512	664	488	581	781	297	490	271	409	869	552	501	560	777
Methanopyri	0	6	0	0	0	0	1	0	0	0	3	0	3	1	0	0	0	0	0	4	0	3	0	2
Thermococci	378	251	252	238	359	246	285	276	122	535	460	159	347	193	315	717	878	142	952	247	288	395	84	804
Thermoplasmata	5904	261037	50572	71315	88065	58761	12238	290	34	100650	79154	45368	67111	155805	3932	83332	53734	38842	49886	176730	160123	53902	92401	51204
Nitrososphaeria	130	8	6	0	1	1	14	11	4	13	4	0	1	24	1	24	2	1	24	21	2	5	0	7
Acidobacteria subdivision 6	301	104	256	35	88	58	135	40	133	117	171	51	144	147	165	68	98	54	190	203	144	143	66	76
Acidobacteriia	1958	1107	775	966	747	1038	1091	805	1021	1079	1208	1359	886	673	1380	1561	1860	915	1827	1111	1480	847	640	1876
Blastocatellia	239	59	52	102	45	39	78	43	13	79	114	112	48	34	68	37	31	43	59	57	70	173	58	107
Solibacteres	137	277	212	37	134	204	218	59	20	104	308	174	153	174	349	90	196	65	71	215	345	195	195	354
Acidimicrobiia	17	62	36	117	29	50	22	33	61	32	41	40	70	33	20	33	26	44	25	19	214	49	50	24
Actinobacteria	44960	61141	31099	54090	48018	49527	43753	225686	71632	35167	67178	60144	52575	28778	48202	64080	44956	43519	50242	68998	62335	52798	80126	79630
