Taxonomy	GXL_5075	GXL_10938	GXL_8500	GXL_5076	GXL_12940	GXL_7910	GXL_7834	GXL_7837	GXL_13164	GXL_12278	GXL_11720	GXL_4184	GXL_1936	GXL_11714	GXL_10199	GXL_9463	GXL_4092	GXL_10143	GXL_13198	GXL_1001	GXL_5777	GXL_10941	GXL_4337	GXL_4363
Candidatus Korarchaeota	0	6	0	2	15	19	0	2	0	1	2	0	13	6	30	6	13	0	3	1	0	0	11	13
Candidatus Micrarchaeota	0	0	11	2	0	13	2	0	0	37	9	1	0	24	1	32	1	94	0	2	0	58	1	0
Crenarchaeota	29	57	52	105	68	118	67	32	145	23	152	185	50	48	49	157	36	50	114	109	110	123	41	107
Euryarchaeota	12347	277092	54742	161276	118925	291428	119993	285318	7532	189119	119218	208160	94473	681366	276948	167440	119733	99596	261528	203046	277705	189917	207612	164941
Thaumarchaeota	137	11	37	9	5	4	27	12	14	16	13	9	18	34	18	25	2	8	41	35	11	50	7	12
Acidobacteria	2654	1573	1312	1256	1043	1383	1576	949	1187	1382	1873	1720	1253	1058	1986	1758	2197	1077	2168	1595	2063	1435	1202	2441
Actinobacteria	138283	122278	143558	359526	111906	100550	73140	384817	123056	152391	116707	105343	138830	66218	76351	117666	104685	465893	127459	222293	285228	87391	135607	132122
Aquificae	91	109	230	57	321	239	255	245	152	342	214	136	144	117	316	657	528	145	105	118	245	296	137	452
Armatimonadetes	176	135	81	83	154	131	106	251	26	24	108	146	93	228	77	202	153	32	63	242	148	159	229	104
Bacteroidetes	2938718	3973770	518906	3266196	2026442	1838654	757217	4944036	3791544	6801157	602222	463649	3043094	1349797	2473336	1487563	1805687	1861248	2774979	2596413	1817903	292115	4225638	1506439
Caldiserica	0	1	10	17	98	11	97	0	0	3	16	7	2	9	0	17	1	22	2	5	2	130	0	1
Calditrichaeota	136	130	157	42	121	149	166	53	38	125	79	217	80	80	158	55	44	142	142	124	96	106	130	230
Candidatus Cloacimonetes	5	38	65	2	13	4	60	5	10	3	43	18	13	16	8	2	17	5	3	40	9	36	2	2
Candidatus Gracilibacteria	2	14	6	1	2	2	8	1	15	2	28	6	3	14	10	1	2	13	4	26	3	9	2	1
Candidatus Saccharibacteria	59	38	50	34	43	39	34	28	10	14	19	21	32	16	32	6	47	17	20	46	17	35	97	32
Chlamydiae	195	312	159	256	148	206	310	231	173	379	230	437	167	24235	176	126	137	103	332	217	249	279	125	157
Chlorobi	2351	1546	1195	1020	1169	1972	1953	855	1959	1683	1776	2057	1532	1269	1424	2117	1615	849	2586	2137	2096	1892	1334	3417
Chloroflexi	961	2693	2577	2998	5302	4226	1345	2329	1178	1465	2262	2013	2905	1217	1842	4868	2080	1657	1889	2630	3459	2327	3746	2779
Chrysiogenetes	79	112	74	73	73	130	96	60	120	57	132	141	108	109	85	96	38	19	130	115	81	96	90	144
Coprothermobacterota	2	3	27	2	3	5	7	0	2	5	10	2	0	2	9	3	0	1	2	2	2	12	7	4
Cyanobacteria	5142	4846	8247	3804	5522	8436	12548	3346	4157	2668	8233	8522	6809	3855	7077	4619	5778	2443	4248	6409	6316	7537	7482	11148
Deferribacteres	74	110	300	235	217	261	247	80	61	58	242	162	128	204	68	33	97	62	101	388	114	278	92	193
Deinococcus-Thermus	2643	4563	2009	3430	3427	4837	3367	3279	3231	2346	4524	6789	4099	1953	3474	5661	2489	2194	3228	5666	6157	4612	3790	7715
Dictyoglomi	4	63	19	115	143	158	25	51	16	26	91	29	109	102	16	47	35	86	79	261	70	59	66	62
Elusimicrobia	597	286	123	51	176	60	80	166	68	82	553	64	328	174	245	59	107	96	204	332	238	117	134	1459
Fibrobacteres	170	645	888	145	103	143	318	37	34	35	190	115	82	470	137	223	119	73	132	363	5929	1451	62	180
Firmicutes	4828211	1751062	2065303	2469509	2959178	1823421	1248161	1098854	1498570	1766453	1109105	2026204	3124484	1171390	1032451	1692878	1465071	1092944	2163369	1494250	1687672	1134752	968048	2285767
Fusobacteria	3710	645	656	1328	1777	1504	1155	3974	15259	4449	1026	657	96793	1339	2283	3096	284	549	12333	1655	2371	819	570	3269
Gemmatimonadetes	296	433	224	324	246	412	349	547	497	226	596	586	475	215	421	529	465	322	352	490	653	451	242	633
Ignavibacteriae	34	107	123	111	239	162	127	249	104	62	131	100	214	135	626	39	34	201	104	320	112	147	836	103
Kiritimatiellaeota	223	205	116	81	171	151	139	81	177	78	328	251	341	228	197	71	194	133	228	153	369	170	183	406
Lentisphaerae	217690	33711	1211	4439	4324	4356	1229	903030	1457481	32308	1031	1480	49391	24058	40120	51140	71466	18702	316490	2207	15979	1566	11415	73918
Nitrospirae	286	392	519	368	487	636	312	1249	490	331	472	660	329	364	605	1007	478	159	501	542	726	355	677	987
Planctomycetes	1010	2080	1081	1220	1113	1504	2445	2713	1335	2031	6089	2580	1613	998	1763	1991	1437	737	2059	2004	1676	1923	1531	2601
Proteobacteria	365986	1045387	277792	1415089	586066	251320	278854	1589174	295648	1418492	341654	294034	3077795	322990	954714	467067	463178	716688	623959	411514	461327	191949	877384	416366
Spirochaetes	3503	15063	41087	5614	8371	31319	37483	2644	2026	9154	10878	12852	4684	22006	27913	9800	7894	25917	8709	22281	62477	35304	6346	8992
Synergistetes	39929	39413	2609	36977	99858	438275	7884	2212058	30041	337591	39450	30081	137391	176622	203482	293517	105802	296768	158162	124293	38670	16916	196832	36253
Tenericutes	433	3034	2737	2862	9675	4658	2033	644	335	1689	1842	2619	1974	1786	1743	1309	840	2462	1864	2187	2516	3038	1460	2808
Thermodesulfobacteria	7	19	62	21	42	19	43	19	36	14	30	19	9	54	74	2	7	73	30	42	24	28	17	20
Thermotogae	353	240	648	231	492	377	517	654	135	421	635	362	302	447	607	582	854	384	877	475	315	541	355	763
Verrucomicrobia	2852	2908	1454	8259	2493	2204	3362	1350045	2619537	168383	2504	3179	2632	1432	84973	3426	2176	9055	2878	3232	2810	2734	2565	4779
