Taxonomy	GXL_5075	GXL_10938	GXL_8500	GXL_5076	GXL_12940	GXL_7910	GXL_7834	GXL_7837	GXL_13164	GXL_12278	GXL_11720	GXL_4184	GXL_1936	GXL_11714	GXL_10199	GXL_9463	GXL_4092	GXL_10143	GXL_13198	GXL_1001	GXL_5777	GXL_10941	GXL_4337	GXL_4363
Candidatus Korarchaeum cryptofilum	0	6	0	2	15	19	0	2	0	1	2	0	13	6	30	6	13	0	3	1	0	0	11	13
Candidatus Micrarchaeota archaeon Mia14	0	0	11	2	0	13	2	0	0	37	9	1	0	24	1	32	1	94	0	2	0	58	1	0
Acidilobus saccharovorans	0	1	10	1	14	5	0	0	0	0	3	3	0	1	0	0	0	0	0	31	1	0	0	0
Acidilobus sp. 7A	0	0	2	8	0	1	1	1	0	0	0	0	0	3	0	0	1	11	0	1	0	0	0	0
Caldisphaera lagunensis	0	1	1	2	0	1	0	0	0	0	2	2	0	4	0	1	2	0	4	4	4	0	2	2
Desulfurococcus amylolyticus	0	0	0	4	0	3	0	0	0	3	0	1	0	0	1	1	0	1	2	0	1	0	1	1
Desulfurococcus mucosus	1	0	0	1	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	2	0	1
Ignicoccus hospitalis	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Ignicoccus islandicus	0	0	0	0	3	1	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	2	0	0
Staphylothermus hellenicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
Staphylothermus marinus	0	0	0	0	22	11	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
Thermogladius calderae	4	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Thermosphaera aggregans	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	3	0	0
Hyperthermus butylicus	1	5	0	9	0	1	5	1	0	2	21	1	2	1	3	0	0	0	0	9	3	21	0	1
Pyrodictium delaneyi	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Pyrolobus fumarii	1	4	0	0	0	0	2	0	0	0	0	0	2	0	4	1	0	0	0	5	0	11	1	1
Acidianus brierleyi	1	0	5	2	0	0	1	0	1	0	0	2	0	0	0	40	0	0	0	1	42	2	3	0
Acidianus hospitalis	0	1	0	1	0	1	0	0	0	0	0	30	0	0	1	0	0	1	0	2	0	11	0	0
Acidianus sulfidivorans	0	0	0	0	0	0	2	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0
Metallosphaera cuprina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metallosphaera hakonensis	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0
Metallosphaera sedula	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	2	0	0	0
Sulfolobus acidocaldarius	0	0	0	2	2	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	2	0	0	0
