Taxonomy	GXL_5075	GXL_4092	GXL_1936	GXL_12940	GXL_10143	GXL_13164	GXL_4337	GXL_5777	GXL_1001	GXL_10938	GXL_8500	GXL_11720	GXL_13198	GXL_4363	GXL_4184	GXL_7834	GXL_10941	GXL_12278	GXL_10199	GXL_11714	GXL_7837	GXL_9463	GXL_5076	GXL_7910
Methanobacteria	0.03633	1.92793	0.34322	0.63704	1.44686	0.08013	2.05293	2.95774	0.46907	0.13862	0.01173	1.48486	2.96628	3.12337	5.27872	3.28499	7.41581	0.61101	5.34363	11.60764	2.58512	3.42149	1.35743	4.53839
Actinobacteria	0.00722	0.01428	0	0.03134	0.02618	0.28637	0.53583	0.01743	0.10628	0.05703	0	0.19247	0	0.00251	0.02355	0	0.0213	0.013	0	0	0.41321	0.06265	0.00569	0.01117
Coriobacteriia	1.82262	2.3079	1.89213	2.16466	15.88773	0.92362	1.34793	9.01709	4.85731	1.35591	6.29752	1.9518	0.19609	1.1682	0.76313	0.57647	1.16901	0.53991	0.31986	0.97977	1.64813	1.6087	6.94252	0.73827
Bacteroidia	66.51997	45.30629	35.0353	27.1345	36.34297	53.46198	58.12871	36.34968	33.47657	57.11491	36.11436	52.09667	53.74051	42.25553	25.85085	72.5336	32.0993	72.97879	39.9627	22.73284	30.69038	31.23824	41.20284	45.43327
Flavobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydiia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20976	0	0	0	0
Fibrobacteria	0	0	0	0	0	0	0	0.21903	0	0.00763	0.0111	0	0	0	0	0	0.03984	0	0	0.00959	0	0	0	0
Bacilli	2.51877	0.71794	10.16735	5.47265	2.89736	7.33561	1.13665	1.84405	0.29928	1.05255	17.24897	0.57255	9.67917	1.34186	13.15065	7.68152	13.01762	1.1427	0.90422	0.59498	1.15415	0.17858	7.37123	2.52622
Clostridia	22.81346	34.6255	25.59647	56.07907	18.74708	10.28049	22.46384	30.34394	45.69885	28.63296	11.88164	31.73583	24.92878	42.27209	31.40305	10.56086	34.20035	14.79289	18.34874	38.50082	13.05504	35.30762	30.30681	36.68617
Erysipelotrichia	0.00249	0.00331	0.04543	0.15998	0.38858	0.00168	0.01244	0.02017	0	0	0.02582	0	0	0.05648	0.32414	0.1252	0.08865	0.03725	0.0343	0.07242	0.86891	0.00429	1.95633	0.16955
Firmicutes_unclassified	0	0	0	0	0	0	0	0.00353	0	0	0.2264	0	0	0	0	0	0	0	10.43402	0	0	0	0.00432	0
Negativicutes	3.89471	2.36073	0.48639	1.5896	4.59231	2.70613	1.57684	4.84736	5.45177	3.15467	21.92781	0	1.08922	2.78117	18.46366	1.24707	10.19748	0.5783	0.61919	2.91675	0.71159	6.91117	2.03585	3.91791
Fusobacteriia	0	0	0.80815	0	0	0	0	0	0	0	0	0	0.03778	0	0	0	0	0.0066	0.00373	0	0.00526	0.03361	0	0
Lentisphaeria	0	0	0.51479	0	0.0109	0.6905	0.01847	0.31642	0	0	0.0116	0	0.04238	0.20048	0	0	0	0	0.14354	0.01308	0.04282	0	0	0
Alphaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Betaproteobacteria	0.01517	1.86919	3.26517	0.10685	6.21261	2.1342	0.26903	0.41369	0.00289	0	0.04139	0	2.56466	0.04352	0	0.01166	0	4.09453	2.02173	0.23093	3.79308	0.10544	0.21535	0.10962
Deltaproteobacteria	1.7664	3.00231	3.53642	1.28826	1.46386	1.56699	4.74728	7.11765	4.35271	4.33864	1.54171	6.77715	2.28518	5.83095	2.73133	1.72748	0.88813	1.34938	5.58637	3.40238	0.86867	3.64236	0.73563	1.48799
Epsilonproteobacteria	0	0	0.0124	0.16882	3.38321	0.01877	0.05013	0.02115	0	0.06984	0	0.03743	0.58266	0.0367	0.00308	0.12668	0	0.14871	6.54316	0.08854	0.0084	0.00345	0.69876	0.00113
Gammaproteobacteria	0.2793	1.81772	16.83902	2.90586	3.96438	0.02416	4.65775	0.15824	0.32123	3.3752	0.53358	0.06272	0.32457	0.03099	0.09427	0.57565	0.27622	1.1036	3.63124	0.45354	3.94826	2.62436	6.87004	0.03687
Spirochaetia	0	0.03743	0.04178	0.0158	0.01218	0	0.75343	0.52235	2.19592	0.36301	4.12638	4.07372	0.01781	0.15972	1.50517	1.51364	0.351	0.00113	0.05198	1.20839	0.00102	0.07646	0.01927	0.16134
Synergistia	0.32354	6.00947	1.4147	2.24558	4.51937	0.23704	2.24873	5.83049	2.76813	0.33904	0	1.0148	1.54493	0.69643	0.40839	0.03518	0.2353	1.78596	4.77935	15.97855	30.57808	14.78156	0.2329	4.1821
Mollicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Verrucomicrobiae	0	0	0	0	0.10443	20.25233	0	0	0	0	0	0	0	0	0	0	0	0.81624	1.27224	0	9.62786	0	0.04505	0
Eukaryota_unclassified	0	0	0.00129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
