Taxonomy	GXL_5075	GXL_4092	GXL_1936	GXL_12940	GXL_10143	GXL_13164	GXL_4337	GXL_5777	GXL_1001	GXL_10938	GXL_8500	GXL_11720	GXL_13198	GXL_4363	GXL_4184	GXL_7834	GXL_10941	GXL_12278	GXL_10199	GXL_11714	GXL_7837	GXL_9463	GXL_5076	GXL_7910
Methanobacteriaceae	0.03633	1.92793	0.34322	0.63704	1.44686	0.08013	2.05293	2.95774	0.46907	0.13862	0.01173	1.48486	2.96628	3.12337	5.27872	3.28499	7.41581	0.61101	5.34363	11.60764	2.58512	3.42149	1.35743	4.53839
Actinomycetaceae	0.00722	0	0	0	0	0.0011	0.16239	0.01743	0.07472	0.05142	0	0.15427	0	0.00251	0.02355	0	0.0213	0	0	0	0	0.06265	0	0.00481
Bifidobacteriaceae	0	0.01428	0	0.03134	0.02618	0.28528	0.37344	0	0.01355	0.00561	0	0.01716	0	0	0	0	0	0.013	0	0	0.37766	0	0	0.00637
Corynebacteriaceae	0	0	0	0	0	0	0	0	0.01801	0	0	0.02104	0	0	0	0	0	0	0	0	0	0	0.00569	0
Corynebacteriales_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03555	0	0	0
Dietziaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brevibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dermabacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micrococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Promicromonosporaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruaniaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardiopsaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atopobiaceae	0	0	0	0	12.24103	0.07975	0	0	0	0	0.00154	0	0.00562	0	0	0	0	0.0097	0.0219	0	0.30632	0	0	0.00135
Coriobacteriaceae	1.78204	2.3079	1.88102	0.03351	2.27796	0.57905	1.19314	9.01709	4.68874	1.35221	6.17086	1.9518	0.11341	0.662	0.6488	0.52046	1.03975	0.42035	0.29796	0.92783	0.09034	1.42805	6.93824	0.28517
Eggerthellaceae	0.04058	0	0.01111	2.13114	1.36874	0.26482	0.15479	0	0.16856	0.0037	0.12512	0	0.07706	0.50619	0.11432	0.05602	0.12926	0.10986	0	0.05195	1.25147	0.18066	0.00428	0.45175
Bacteroidaceae	2.46452	9.22395	23.4281	14.0847	21.57072	12.19256	13.03089	3.00231	16.66913	14.996	0.00069	0.78811	3.56697	5.37421	0.35179	0.38857	0.04718	5.25961	5.64999	5.33654	11.7255	6.05695	24.8362	9.7948
Barnesiellaceae	0	0	0	0	0	0.01747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Odoribacteraceae	0.89949	3.57834	1.33363	1.3483	1.91157	0.73429	2.88962	0.34327	1.72869	4.64054	0.53663	0.19995	1.30321	1.57498	0.12839	0.11232	0.02059	1.18743	9.56263	0.98459	1.0568	1.06449	0.96996	2.40765
Paludibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonadaceae	0.20613	0.25764	0.35809	0.34809	0.35295	0.20996	0.73235	0.40178	0.28916	0.3955	0	0.16473	0.51943	0.95215	0.02172	0.0188	0.06482	0.22228	0.87855	0.6302	0.36748	0.38694	0.38488	0.34125
Prevotellaceae	58.01672	15.70322	7.29523	6.76738	3.55314	32.08057	0.13831	1.36252	3.07218	27.76706	35.51887	40.62541	32.31861	26.0062	20.76786	70.57911	31.10921	52.69372	0.02524	6.18274	1.08145	0.98069	2.40315	28.27562
Rikenellaceae	4.83911	7.53128	0.84291	0.10052	1.38069	6.71939	11.7689	3.35372	2.63826	0.8595	0	5.35499	7.85026	4.09869	0.72105	0.27053	0.17002	6.45651	8.79747	3.34731	7.18019	13.12926	3.78154	0.44578
Tannerellaceae	0.09399	9.01187	1.77734	4.48551	7.5739	1.50775	29.56864	27.88607	9.07916	8.45631	0.05817	4.96348	8.18202	4.2493	3.86004	1.16427	0.68748	7.15924	15.04884	6.25147	9.27896	9.61993	8.82711	4.16817
Flavobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20976	0	0	0	0
Fibrobacteraceae	0	0	0	0	0	0	0	0.21903	0	0.00763	0.0111	0	0	0	0	0	0.03984	0	0	0.00959	0	0	0	0
Bacillales_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01096	0	0.00103	0
Planococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aerococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carnobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcaceae	0	0	0	0	0.08381	0	0	0.04397	0.00565	0.0022	0	0	0.03771	0	0	0	0	0.04701	0	0	0	0	1.304	0
Lactobacillaceae	2.51877	0.70066	10.09902	5.34323	2.77864	7.33561	1.11624	1.79879	0.29363	1.05035	17.01198	0.57255	9.64146	1.34186	12.62278	6.24129	12.10984	1.06797	0.90422	0.42233	1.1005	0.17858	6.0662	2.30783
