ped_ind,sire_ind,dam_ind
GXH_1,NA,NA
GXH_2,NA,NA
GXH_3,NA,NA
GXH_4,NA,NA
GXH_5,NA,NA
GXH_6,NA,NA
GXH_7,NA,NA
GXH_8,NA,NA
GXH_9,NA,NA
GXH_10,NA,NA
GXH_11,NA,NA
GXH_12,NA,NA
GXH_13,NA,NA
GXH_14,NA,NA
GXH_15,NA,NA
GXH_16,NA,NA
GXH_17,NA,NA
GXH_18,NA,NA
GXH_19,NA,NA
GXH_20,NA,NA
GXH_21,NA,NA
GXH_22,NA,NA
GXH_23,NA,NA
GXH_24,NA,NA
GXH_25,NA,NA
GXH_26,NA,NA
GXH_27,NA,NA
GXH_28,NA,NA
GXH_29,NA,NA
GXH_30,NA,NA
GXH_31,NA,NA
GXH_32,NA,NA
GXH_33,NA,NA
GXH_34,NA,NA
GXH_35,NA,NA
GXH_36,NA,NA
GXH_37,NA,NA
GXH_38,NA,NA
GXH_39,NA,NA
GXH_40,NA,NA
GXH_41,NA,NA
GXH_42,NA,NA
GXH_43,NA,NA
GXH_44,NA,NA
GXH_45,NA,NA
GXH_46,NA,NA
GXH_47,NA,NA
GXH_48,NA,NA
GXH_49,NA,NA
GXH_50,NA,NA
GXH_51,NA,NA
GXH_52,NA,NA
GXH_53,NA,NA
GXH_54,NA,NA
GXH_55,NA,NA
GXH_56,NA,NA
GXH_57,NA,NA
GXH_58,NA,NA
GXH_59,NA,NA
GXH_60,NA,NA
GXH_61,NA,NA
GXH_62,NA,NA
GXH_63,NA,NA
GXH_64,NA,NA
GXH_65,NA,NA
GXH_66,NA,NA
GXH_67,NA,NA
GXH_68,NA,NA
GXH_69,NA,NA
GXH_70,NA,NA
GXH_71,NA,NA
GXH_72,NA,NA
GXH_73,NA,NA
GXH_74,NA,NA
GXH_75,NA,NA
GXH_76,NA,NA
GXH_77,NA,NA
GXH_78,NA,NA
GXH_79,NA,NA
GXH_80,NA,NA
GXH_81,NA,NA
GXH_82,NA,NA
GXH_83,NA,NA
GXH_84,NA,NA
GXH_85,NA,NA
GXH_86,NA,NA
GXH_87,NA,NA
GXH_88,GXH_14,GXH_52
GXH_89,GXH_88,GXH_34
GXH_90,GXH_18,GXH_57
GXH_91,GXH_26,GXH_87
GXH_92,GXH_90,GXH_91
GXH_93,GXH_89,GXH_92
GXH_94,GXH_16,GXH_55
GXH_95,GXH_10,GXH_46
GXH_96,GXH_95,GXH_38
GXH_97,GXH_94,GXH_96
GXH_98,GXH_93,GXH_97
GXH_99,GXH_3,GXH_32
GXH_100,GXH_11,GXH_45
GXH_101,GXH_20,GXH_62
GXH_102,GXH_100,GXH_101
GXH_103,GXH_102,GXH_40
GXH_104,GXH_99,GXH_103
GXH_105,GXH_26,GXH_69
GXH_106,GXH_2,GXH_105
GXH_107,GXH_95,GXH_46
GXH_108,GXH_106,GXH_107
GXH_109,GXH_104,GXH_108
GXH_110,GXH_98,GXH_109
GXH_111,GXH_100,GXH_101
GXH_112,GXH_104,GXH_111
GXH_113,GXH_19,GXH_59
GXH_114,GXH_113,GXH_33
GXH_115,GXH_114,GXH_111
GXH_116,GXH_27,GXH_73
GXH_117,GXH_88,GXH_116
GXH_118,GXH_115,GXH_117
GXH_119,GXH_112,GXH_118
GXH_120,GXH_99,GXH_103
GXH_121,GXH_26,GXH_83
GXH_122,GXH_95,GXH_121
GXH_123,GXH_120,GXH_122
GXH_124,GXH_112,GXH_123
GXH_125,GXH_113,GXH_37
GXH_126,GXH_100,GXH_51
GXH_127,GXH_126,GXH_77
GXH_128,GXH_125,GXH_127
GXH_129,GXH_120,GXH_128
GXH_130,GXH_6,GXH_39
GXH_131,GXH_106,GXH_130
GXH_132,GXH_95,GXH_130
GXH_133,GXH_102,GXH_38
GXH_134,GXH_132,GXH_133
GXH_135,GXH_131,GXH_134
GXH_136,GXH_129,GXH_135
GXH_137,GXH_9,GXH_44
GXH_138,GXH_137,GXH_47
GXH_139,GXH_10,GXH_46
GXH_140,GXH_138,GXH_139
GXH_141,GXH_120,GXH_140
GXH_142,GXH_11,GXH_72
GXH_143,GXH_137,GXH_142
GXH_144,GXH_93,GXH_143
GXH_145,GXH_141,GXH_144
GXH_146,GXH_95,GXH_130
GXH_147,GXH_146,GXH_92
GXH_148,GXH_11,GXH_60
GXH_149,GXH_17,GXH_148
GXH_150,GXH_29,GXH_82
GXH_151,GXH_10,GXH_150
GXH_152,NA,NA
GXH_153,GXH_151,GXH_152
GXH_154,GXH_149,GXH_153
GXH_155,GXH_147,GXH_154
GXH_156,GXH_95,GXH_64
GXH_157,GXH_114,GXH_156
GXH_158,GXH_120,GXH_157
GXH_159,GXH_155,GXH_158
GXH_160,GXH_104,GXH_111
GXH_161,GXH_98,GXH_160
GXH_162,GXH_161,GXH_135
GXH_163,GXH_1,GXH_150
GXH_164,GXH_163,GXH_133
GXH_165,GXH_137,GXH_148
GXH_166,GXH_164,GXH_165
GXH_167,GXH_1,GXH_56
GXH_168,GXH_29,GXH_76
GXH_169,GXH_88,GXH_168
GXH_170,GXH_167,GXH_169
GXH_171,GXH_132,GXH_170
GXH_172,GXH_131,GXH_171
GXH_173,GXH_172,GXH_144
GXH_174,GXH_98,GXH_166
GXH_175,GXH_120,GXH_140
GXH_176,GXH_174,GXH_175
GXH_177,GXH_21,GXH_63
GXH_178,GXH_95,GXH_177
GXH_179,GXH_120,GXH_178
GXH_180,GXH_174,GXH_179
GXH_181,GXH_131,GXH_171
GXH_182,GXH_12,GXH_49
GXH_183,GXH_23,GXH_67
GXH_184,GXH_182,GXH_183
GXH_185,GXH_104,GXH_184
GXH_186,GXH_181,GXH_185
GXH_187,GXH_15,GXH_53
GXH_188,GXH_187,GXH_48
GXH_189,GXH_100,GXH_84
GXH_190,GXH_188,GXH_189
GXH_191,GXH_167,GXH_190
GXH_192,GXH_120,GXH_191
GXH_193,GXH_98,GXH_192
GXH_194,GXH_186,GXH_193
GXH_195,GXH_5,GXH_36
GXH_196,GXH_20,GXH_65
GXH_197,GXH_88,GXH_196
GXH_198,GXH_195,GXH_197
GXH_199,GXH_29,GXH_85
GXH_200,GXH_102,GXH_199
GXH_201,GXH_198,GXH_200
GXH_202,GXH_155,GXH_201
GXH_203,GXH_25,GXH_71
GXH_204,GXH_88,GXH_203
GXH_205,GXH_131,GXH_204
GXH_206,GXH_137,GXH_54
GXH_207,GXH_206,GXH_122
GXH_208,GXH_104,GXH_207
GXH_209,GXH_205,GXH_208
GXH_210,GXH_202,GXH_209
GXH_211,GXH_202,GXH_209
GXH_212,GXH_172,GXH_144
GXH_213,GXH_120,GXH_140
GXH_214,GXH_155,GXH_213
GXH_215,GXH_131,GXH_171
GXH_216,GXH_120,GXH_178
GXH_217,GXH_215,GXH_216
GXH_218,GXH_214,GXH_217
GXH_219,GXH_214,GXH_166
GXH_220,GXH_214,GXH_166
GXH_221,GXH_137,GXH_148
GXH_222,GXH_115,GXH_221
GXH_223,GXH_141,GXH_222
GXH_224,GXH_161,GXH_135
GXH_225,GXH_120,GXH_178
GXH_226,GXH_93,GXH_143
GXH_227,GXH_225,GXH_226
GXH_228,GXH_90,GXH_81
GXH_229,GXH_188,GXH_228
GXH_230,GXH_93,GXH_229
GXH_231,GXH_225,GXH_230
GXH_232,GXH_104,GXH_111
GXH_233,GXH_98,GXH_232
GXH_234,GXH_188,GXH_189
GXH_235,GXH_104,GXH_234
GXH_236,GXH_31,GXH_52
GXH_237,GXH_167,GXH_236
