ID,Parity,Herd,YearSeason,Sex,Dam,Birth_weight,Day_to_115kg,Backfat_thickness,Loin_muscle_area,Lean_percentage
GXH_110,4,12,201,Female,GXH_109,1.5,180.86,17.31,18.63,44.98
GXH_838,2,12,201,Female,GXH_565,0.6,207.51,20.08,21.34,45.08
GXH_1079,2,12,201,Male,GXH_536,1.3,189.83,20.58,20.57,44.6
GXH_916,3,12,193,Female,GXH_390,1.6,173.98,17.23,25.7,47.79
GXH_1288,4,12,201,Female,GXH_773,1,196.6,14.87,20.77,46.67
GXH_1022,4,10,201,Female,GXH_572,0.8,194.53,14.55,17.08,45.34
GXH_1094,4,10,201,Female,GXH_572,1.5,196.98,17.48,18.9,45.03
GXH_1093,4,10,201,Male,GXH_400,2,185.7,10.81,20.84,48.12
GXH_855,3,3,193,Male,GXH_216,1.3,175.07,14.25,16.44,45.19
GXH_854,1,3,193,Male,GXH_645,1.3,175.27,16.09,26.82,48.62
GXH_630,3,3,194,Male,GXH_507,NA,181.74,11.81,18.49,46.85
GXH_629,4,3,201,Male,GXH_442,1.8,180.6,14.97,18.42,45.72
GXH_627,3,3,193,Male,GXH_619,1.5,169.04,13.31,17.67,46
GXH_628,3,3,194,Male,GXH_371,NA,175.16,13.62,25.05,48.79
GXH_223,3,3,204,Male,GXH_222,1.3,201.99,14.43,18.32,45.87
GXH_224,4,3,201,Male,GXH_135,1.6,177.78,13.34,22.41,47.85
GXH_1330,3,3,194,Male,GXH_226,NA,179.38,11.3,23.59,49.03
GXH_1097,3,3,194,Male,GXH_371,NA,178.76,13.66,28.16,50
GXH_1098,3,3,193,Female,GXH_179,1.3,189.13,15.77,29.73,49.88
GXH_1096,3,3,194,Male,GXH_118,NA,178.02,14.56,18.47,45.88
GXH_1095,4,3,201,Male,GXH_548,1.6,205.55,12.33,20.76,47.56
GXH_898,4,3,201,Male,GXH_442,1.8,167.6,18.16,24.88,47.14
GXH_1150,3,3,193,Male,GXH_144,1.4,156.08,13.86,22.24,47.6
GXH_675,3,3,204,Male,GXH_222,1.3,181.26,11.37,17.36,46.56
GXH_676,3,3,194,Male,GXH_371,NA,172.32,14.69,22.16,47.28
GXH_828,3,3,194,Female,GXH_329,NA,160.34,16.97,21.16,46.09
GXH_633,1,20,194,Male,GXH_632,NA,211,11.78,39.96,55.29
GXH_638,2,20,192,Female,GXH_637,NA,202.97,23.15,29.2,47.09
GXH_639,3,20,192,Female,GXH_160,1.3,182.64,19.84,26.08,47.02
GXH_870,2,20,192,Female,GXH_659,1.3,162.67,18.86,31.89,49.65
GXH_1336,1,20,194,Male,GXH_449,NA,208.29,8.83,34.89,54.33
GXH_1106,3,20,192,Female,GXH_287,1.3,171.87,17.9,25.21,47.36
GXH_1108,2,20,192,Female,GXH_271,1.3,162.16,19.16,28.46,48.2
