ped_ind,sire_ind,dam_ind
GXL_1,NA,NA
GXL_2,NA,NA
GXL_3,NA,NA
GXL_4,NA,NA
GXL_5,NA,NA
GXL_6,NA,NA
GXL_7,NA,NA
GXL_8,NA,NA
GXL_9,NA,NA
GXL_10,NA,NA
GXL_11,NA,NA
GXL_12,NA,NA
GXL_13,NA,NA
GXL_14,NA,NA
GXL_15,NA,NA
GXL_16,NA,NA
GXL_17,NA,NA
GXL_18,NA,NA
GXL_19,NA,NA
GXL_20,NA,NA
GXL_21,NA,NA
GXL_22,NA,NA
GXL_23,NA,NA
GXL_24,NA,NA
GXL_25,NA,NA
GXL_26,NA,NA
GXL_27,NA,NA
GXL_28,NA,NA
GXL_29,NA,NA
GXL_30,NA,NA
GXL_31,NA,NA
GXL_32,NA,NA
GXL_33,NA,NA
GXL_34,NA,NA
GXL_35,NA,NA
GXL_36,NA,NA
GXL_37,NA,NA
GXL_38,NA,NA
GXL_39,NA,NA
GXL_40,NA,NA
GXL_41,NA,NA
GXL_42,NA,NA
GXL_43,NA,NA
GXL_44,NA,NA
GXL_45,NA,NA
GXL_46,NA,NA
GXL_47,NA,NA
GXL_48,NA,NA
GXL_49,NA,NA
GXL_50,NA,NA
GXL_51,NA,NA
GXL_52,NA,NA
GXL_53,NA,NA
GXL_54,NA,NA
GXL_55,NA,NA
GXL_56,NA,NA
GXL_57,NA,NA
GXL_58,NA,NA
GXL_59,NA,NA
GXL_60,NA,NA
GXL_61,NA,NA
GXL_62,NA,NA
GXL_63,NA,NA
GXL_64,NA,NA
GXL_65,NA,NA
GXL_66,NA,NA
GXL_67,NA,NA
GXL_68,NA,NA
GXL_69,NA,NA
GXL_70,NA,NA
GXL_71,NA,NA
GXL_72,NA,NA
GXL_73,NA,NA
GXL_74,NA,NA
GXL_75,NA,NA
GXL_76,NA,NA
GXL_77,NA,NA
GXL_78,NA,NA
GXL_79,NA,NA
GXL_80,NA,NA
GXL_81,NA,NA
GXL_82,NA,NA
GXL_83,NA,NA
GXL_84,NA,NA
GXL_85,NA,NA
GXL_86,NA,NA
GXL_87,NA,NA
GXL_88,NA,NA
GXL_89,NA,NA
GXL_90,NA,NA
GXL_91,NA,NA
GXL_92,NA,NA
GXL_93,NA,NA
GXL_94,NA,NA
GXL_95,NA,NA
GXL_96,NA,NA
GXL_97,NA,NA
GXL_98,NA,NA
GXL_99,NA,NA
GXL_100,NA,NA
GXL_101,NA,NA
GXL_102,NA,NA
GXL_103,NA,NA
GXL_104,NA,NA
GXL_105,NA,NA
GXL_106,NA,NA
GXL_107,NA,NA
GXL_108,NA,NA
GXL_109,NA,NA
GXL_110,NA,NA
GXL_111,NA,NA
GXL_112,NA,NA
GXL_113,NA,NA
GXL_114,NA,NA
GXL_115,NA,NA
GXL_116,NA,NA
GXL_117,NA,NA
GXL_118,NA,NA
GXL_119,NA,NA
GXL_120,NA,NA
GXL_121,NA,NA
GXL_122,NA,NA
GXL_123,NA,NA
GXL_124,NA,NA
GXL_125,NA,NA
GXL_126,NA,NA
GXL_127,NA,NA
GXL_128,NA,NA
GXL_129,NA,NA
GXL_130,NA,NA
GXL_131,NA,NA
GXL_132,NA,NA
GXL_133,NA,NA
GXL_134,NA,NA
GXL_135,NA,NA
GXL_136,NA,NA
GXL_137,NA,NA
GXL_138,NA,NA
GXL_139,NA,NA
GXL_140,NA,NA
GXL_141,NA,NA
GXL_142,NA,NA
GXL_143,NA,NA
GXL_144,NA,NA
GXL_145,NA,NA
GXL_146,NA,NA
GXL_147,NA,NA
GXL_148,NA,NA
GXL_149,NA,NA
GXL_150,NA,NA
GXL_151,NA,NA
GXL_152,NA,NA
GXL_153,NA,NA
GXL_154,NA,NA
GXL_155,NA,NA
GXL_156,NA,NA
GXL_157,NA,NA
GXL_158,NA,NA
GXL_159,NA,NA
GXL_160,NA,NA
GXL_161,NA,NA
GXL_162,NA,NA
GXL_163,NA,NA
GXL_164,NA,NA
GXL_165,NA,NA
GXL_166,NA,NA
GXL_167,NA,NA
GXL_168,NA,NA
GXL_169,NA,NA
GXL_170,NA,NA
GXL_171,NA,NA
GXL_172,NA,NA
GXL_173,NA,NA
GXL_174,NA,NA
GXL_175,NA,NA
GXL_176,NA,NA
GXL_177,NA,NA
GXL_178,NA,NA
GXL_179,NA,NA
GXL_180,NA,NA
GXL_181,NA,NA
GXL_182,NA,NA
GXL_183,NA,NA
GXL_184,NA,NA
GXL_185,NA,NA
GXL_186,NA,NA
GXL_187,NA,NA
GXL_188,NA,NA
GXL_189,NA,NA
GXL_190,NA,NA
GXL_191,NA,NA
GXL_192,NA,NA
GXL_193,NA,NA
GXL_194,NA,NA
GXL_195,NA,NA
GXL_196,NA,NA
GXL_197,GXL_4,GXL_63
GXL_198,GXL_20,GXL_77
GXL_199,GXL_5,GXL_198
GXL_200,GXL_197,GXL_199
GXL_201,GXL_5,GXL_64
GXL_202,GXL_46,GXL_138
GXL_203,GXL_201,GXL_202
GXL_204,GXL_32,GXL_97
GXL_205,GXL_204,GXL_62
GXL_206,GXL_56,GXL_167
GXL_207,GXL_205,GXL_206
GXL_208,GXL_203,GXL_207
