ID,Parity,Herd,YearSeason,Sex,Dam,Birth_weight,Day_to_115kg,Backfat_thickness,Loin_muscle_area,Lean_percentage
GXL_237,4,12,201,Male,GXL_236,1.6,155.04,16.32,27.87,48.96
GXL_219,4,12,201,Female,GXL_217,1,187.86,10.72,27.93,50.94
GXL_218,4,12,201,Female,GXL_217,1.3,164.91,11.6,31.91,52.19
GXL_1758,3,12,193,Female,GXL_1167,1.5,169.18,14.82,35.56,52.5
GXL_1759,3,12,201,Male,GXL_795,1.6,190.34,11.19,21.67,48.31
GXL_2601,4,12,201,Female,GXL_2350,1.5,180.19,13.61,31.65,51.39
GXL_3357,1,12,193,Female,GXL_1124,1.6,154.05,17,28.83,49.1
GXL_3358,3,12,193,Female,GXL_1211,2.2,161.76,10.33,24.26,49.63
GXL_562,4,12,201,Female,GXL_380,1.4,186.36,11.07,29.92,51.6
GXL_566,4,12,201,Female,GXL_451,1,196.2,12.36,28.03,50.4
GXL_570,3,12,201,Female,GXL_569,1.3,207.27,11.05,35.8,53.91
GXL_3402,4,12,201,Female,GXL_1748,1.3,184.04,16.67,25.86,48.04
GXL_3503,4,12,201,Female,GXL_505,1.7,172.33,10.41,24.69,49.77
GXL_933,3,12,193,Female,GXL_780,1.3,166.86,12.59,22.93,48.32
GXL_2029,3,12,193,Female,GXL_1211,1.8,164.38,12.63,29.43,50.86
GXL_1018,3,12,193,Female,GXL_609,1.3,173.27,9.8,19.78,48.06
GXL_3582,3,12,193,Female,GXL_757,1.5,174.08,9.28,30.41,52.41
GXL_3579,3,12,193,Female,GXL_1211,1.9,166,8.8,31.8,53.13
GXL_3578,3,12,193,Female,GXL_1710,1.2,167.19,12.63,31.8,51.79
GXL_3581,3,12,193,Female,GXL_1586,1.4,170.66,9.52,27.39,51.14
GXL_2063,1,12,193,Female,GXL_1124,1.6,163.77,10.01,29.77,51.91
GXL_2059,4,12,201,Female,GXL_578,1.5,158.83,12.26,26.03,49.65
GXL_2862,4,12,201,Female,GXL_236,1.5,165.45,12.05,25.98,49.71
GXL_4397,3,12,193,Female,GXL_693,1.5,155,10.46,27,50.66
GXL_3944,3,12,193,Female,GXL_831,1.5,166.55,9.34,28.13,51.5
GXL_2420,3,12,193,Female,GXL_609,1.5,176.9,7.57,24.64,50.75
GXL_2498,4,12,201,Female,GXL_388,1.4,173.44,10.76,27.11,50.6
GXL_3300,1,12,193,Female,GXL_615,1.4,170.4,15.1,29.6,50.06
GXL_3619,5,10,201,Female,GXL_508,1.8,161.71,13.31,25.86,49.22
GXL_2077,5,10,201,Female,GXL_1196,1.8,170.43,11.65,29.86,51.37
GXL_3468,4,10,201,Female,GXL_1618,2,172.15,12.21,25.26,49.37
GXL_555,5,10,201,Male,GXL_511,1.6,197.59,8.83,16.54,47.12
GXL_561,4,10,201,Female,GXL_535,1.5,192.54,11.25,25,49.6
GXL_560,5,10,201,Male,GXL_559,2,180.83,7.67,27.27,51.74
GXL_557,5,10,201,Male,GXL_556,1.6,193.45,13.22,27.55,49.91
GXL_1803,4,10,201,Male,GXL_1618,1.6,177.55,12.92,27.74,50.09
GXL_1805,5,10,201,Female,GXL_1196,1.6,196.93,13.23,27.71,49.97
GXL_1804,5,10,201,Male,GXL_1149,2,183.27,8.55,22.86,49.7
GXL_2647,5,10,201,Male,GXL_559,1.6,192.33,9.02,23.07,49.62
GXL_2648,5,10,201,Male,GXL_686,1.7,162.65,8.3,28.52,52.01
GXL_1806,5,10,201,Female,GXL_559,2,189.95,8.7,32.6,53.48
GXL_2649,5,10,201,Male,GXL_511,1.7,209.54,9.48,20.1,48.3
GXL_3400,5,10,201,Male,GXL_614,2,177.78,7.04,26.58,51.69
GXL_3399,5,10,201,Male,GXL_556,1.8,191.27,10.15,16.33,46.58
GXL_3401,5,10,201,Male,GXL_614,1.8,179.05,8.72,19.85,48.46
GXL_3405,3,3,194,Female,GXL_301,NA,170.27,10.89,30.36,51.83
GXL_2651,4,3,193,Female,GXL_1257,1.3,176.5,14.53,31.96,51.19
GXL_2664,3,3,194,Male,GXL_2663,NA,164.51,12.55,29.09,50.75
GXL_2661,4,3,201,Male,GXL_621,1.6,183.97,9.12,24.06,49.98
GXL_1827,3,3,194,Male,GXL_617,NA,180.81,13.54,26.48,49.38
GXL_1823,4,3,201,Male,GXL_1822,1.5,160.33,8.27,23.28,49.97
GXL_1825,2,3,201,Male,GXL_1556,1.5,175.85,12.83,32.14,51.85
GXL_1824,4,3,201,Male,GXL_1088,1.8,173.93,10.46,28.91,51.41
GXL_1828,3,3,193,Male,GXL_726,1.8,165.49,10.18,22.32,48.92
GXL_1833,4,3,204,Male,GXL_1832,NA,161.52,11.25,30.88,51.91
GXL_1821,4,3,201,Male,GXL_831,1.4,169.37,13.52,20.93,47.21
GXL_1818,4,3,194,Male,GXL_897,NA,199.37,8.91,30.58,52.61
GXL_1820,3,3,193,Male,GXL_1819,1.5,159,9.29,26.26,50.78
GXL_1826,4,3,201,Male,GXL_285,1.3,171.51,10.46,25.61,50.12
GXL_1831,2,3,202,Female,GXL_1830,1.6,175.54,9.97,25.44,50.22
GXL_599,3,3,204,Male,GXL_598,NA,153.45,10.5,24.21,49.55
GXL_629,2,3,204,Male,GXL_628,1.7,160.63,10.31,24.65,49.79
GXL_616,2,3,201,Male,GXL_615,1.3,159.48,13.33,16.67,45.6
GXL_603,4,3,201,Male,GXL_602,1.5,149.41,10.4,22.2,48.8
GXL_608,4,3,204,Male,GXL_364,1.3,171.59,10.02,23.82,49.57
GXL_607,3,3,193,Male,GXL_606,1.9,160.12,7.61,32.64,53.87
GXL_595,3,3,193,Male,GXL_594,2,168.83,8.75,25.61,50.71
GXL_620,4,3,201,Male,GXL_285,1.7,159.15,12.89,29.55,50.82
GXL_610,4,3,201,Male,GXL_609,1.3,174.16,9.66,26.68,50.82
GXL_627,1,3,193,Male,GXL_626,1.6,145.69,12.23,27.09,50.08
GXL_618,3,3,194,Male,GXL_617,NA,163.11,10.7,29.74,51.66
GXL_622,4,3,201,Male,GXL_621,1.4,185.36,9.21,30.37,52.42
GXL_4172,3,3,194,Male,GXL_301,NA,177.3,10.64,30.72,52.06
GXL_3417,4,3,194,Male,GXL_1181,NA,161.66,10.25,32.27,52.81
GXL_3421,4,3,201,Male,GXL_831,1.3,163.16,15.18,21.58,46.88
GXL_3415,3,3,202,Male,GXL_979,2.5,163.16,8.98,27.63,51.43
GXL_3419,1,3,193,Male,GXL_979,1.3,148.01,11.32,32.03,52.34
GXL_3422,3,3,193,Male,GXL_1298,1.3,153.19,13.59,38.21,53.97
GXL_3418,3,3,194,Male,GXL_2663,NA,172.32,10.42,24.95,49.87
GXL_3423,1,3,193,Male,GXL_2476,1.5,167.43,10.99,34.73,53.51
GXL_3416,3,3,194,Male,GXL_1145,NA,179.86,9.29,24.02,49.9
GXL_3420,4,3,194,Male,GXL_890,NA,163.54,9.14,29.92,52.27
GXL_2662,4,3,201,Male,GXL_1016,2,160.74,8.36,27.01,51.4
GXL_2659,1,3,193,Male,GXL_462,1.2,164.07,8.48,36.66,55.15
GXL_635,2,3,204,Male,GXL_462,1.3,161.57,10.78,26.98,50.54
GXL_2750,2,3,201,Male,GXL_848,1.3,160.71,12.64,23.82,48.65
GXL_2751,2,3,204,Male,GXL_462,1.4,159.71,9.17,25.76,50.63
GXL_2748,4,3,201,Male,GXL_336,1.6,173.36,8.13,28.55,52.09
GXL_2752,3,3,193,Male,GXL_1436,2.2,147.11,9.47,29.73,52.08
GXL_3511,4,3,201,Male,GXL_495,1.3,157.7,8.91,31.37,52.92
GXL_3509,4,3,201,Male,GXL_336,1.4,175.07,8.23,21.31,49.21
GXL_1795,3,3,193,Male,GXL_633,2,163.54,11.28,30.84,51.88
GXL_850,4,3,201,Male,GXL_495,1.3,160.78,9.71,23.1,49.39
GXL_849,2,3,201,Male,GXL_848,1.5,163.53,8.63,31,52.87
GXL_2775,2,3,204,Male,GXL_873,1.3,180.96,7.54,22.45,49.9
GXL_1967,3,3,204,Male,GXL_598,NA,157.78,12.35,24.52,49.03
GXL_1700,3,3,193,Female,GXL_726,1.3,179.53,9.61,32.14,52.98
GXL_1146,3,3,194,Female,GXL_1145,NA,183.19,10.63,27.28,50.71
GXL_3533,4,3,204,Male,GXL_364,1.3,182.06,10.38,27.34,50.82
GXL_3530,4,3,194,Male,GXL_890,NA,174.01,11.19,28.16,50.86
GXL_1594,1,3,193,Male,GXL_462,1.3,159.23,8.69,33.47,53.82
GXL_1170,3,3,194,Female,GXL_400,NA,156.85,11.85,32.24,52.24
GXL_3189,1,3,193,Male,GXL_1622,1.5,160.54,11.05,27.5,50.65
GXL_1523,3,3,193,Male,GXL_606,1.3,167.85,10.78,22.81,48.91
GXL_3188,1,3,193,Male,GXL_1556,1.8,148.69,9.34,35.27,54.3
GXL_2589,5,3,202,Male,GXL_591,1.9,156.29,8.11,31.45,53.23
GXL_1754,5,3,202,Male,GXL_591,2,153.81,8.66,30.7,52.75
GXL_2491,3,3,193,Female,GXL_2490,1.3,201.89,9.06,30.27,52.44
GXL_1835,1,19,194,Male,GXL_453,NA,176.33,6.61,36.5,55.74
GXL_3460,1,19,194,Male,GXL_453,NA,199.54,6.67,30.7,53.44
GXL_3449,1,19,194,Male,GXL_1185,NA,200.66,6.91,25.79,51.43
GXL_2684,1,19,194,Male,GXL_1822,NA,179.02,8.53,38.14,55.71
GXL_2674,1,19,194,Male,GXL_591,NA,178.01,6.38,40.73,57.48
GXL_2689,1,19,194,Male,GXL_1218,NA,179.02,8.53,41.13,56.89
GXL_2856,4,5,204,Female,GXL_1607,NA,151.69,11.53,25,49.5
GXL_1116,3,5,204,Female,GXL_913,1.6,173.99,11.94,24.84,49.3
GXL_365,4,5,204,Female,GXL_364,1.3,178.24,10.17,35.96,54.28
GXL_2060,4,5,204,Female,GXL_659,1.3,167.67,9.53,22.6,49.26
GXL_2072,4,5,204,Female,GXL_753,1.9,171.76,11.59,27.31,50.39
GXL_2860,4,5,204,Female,GXL_657,NA,169.66,9.95,24.46,49.84
GXL_1119,2,5,204,Female,GXL_638,1.3,151.26,14.01,26.63,49.28
GXL_1118,2,5,204,Female,GXL_1117,1.6,160.04,12.91,27.67,50.07
GXL_1632,4,5,204,Female,GXL_935,1.3,161.89,14.33,25.08,48.56
GXL_3268,4,5,204,Female,GXL_657,NA,186.13,12.39,19.45,47.02
GXL_3267,4,5,204,Female,GXL_650,1.3,159.87,11.01,24.88,49.64
GXL_3262,2,5,204,Female,GXL_2208,1.3,200.27,11.31,22.77,48.7
GXL_2495,3,5,204,Female,GXL_917,1,188.54,18.04,24.29,46.95
GXL_4002,4,5,204,Female,GXL_935,1.3,169.02,12.71,33.09,52.27
GXL_2496,4,5,204,Female,GXL_308,1.3,181.63,10.34,18.06,47.19
GXL_2497,4,5,204,Female,GXL_650,1.3,198.53,10.59,23.21,49.13
GXL_1552,3,14,193,Female,GXL_292,1.6,168.56,11.35,28.39,50.9
GXL_1551,3,14,193,Female,GXL_329,2.2,190.16,8.49,30.57,52.75
GXL_1553,3,14,193,Female,GXL_1330,0.8,182.33,15.07,31.5,50.82
GXL_3943,2,14,193,Female,GXL_795,1.4,172.06,8.87,27.67,51.48
GXL_1686,1,14,193,Female,GXL_837,1.7,177.14,11.57,36.25,53.91
GXL_1110,2,14,202,Female,GXL_837,1.5,176.14,10.53,26.55,50.46
GXL_2821,1,14,193,Female,GXL_837,1.5,184.6,9.13,31.31,52.82
GXL_2030,1,14,193,Female,GXL_516,1.3,190.57,9.16,33.67,53.74
GXL_2819,3,14,193,Female,GXL_1599,1.3,190.16,11.25,31.06,51.98
GXL_1017,3,14,193,Female,GXL_1016,1.6,167.67,8.92,40.76,56.61
GXL_1025,2,14,193,Female,GXL_795,1.3,186.98,10.23,26.57,50.57
GXL_2853,3,14,193,Female,GXL_324,1.6,167.78,11.1,33.74,53.09
GXL_2866,2,14,193,Female,GXL_795,1.4,165.45,8.07,36.53,55.24
GXL_4322,3,14,193,Female,GXL_706,1,169.38,11.3,31.18,52.01
GXL_860,3,14,202,Female,GXL_442,1.2,194.95,8.87,22.46,49.44
GXL_866,3,14,193,Female,GXL_495,0.8,188.54,8.9,31.35,52.92
GXL_874,3,14,202,Female,GXL_873,1.5,179.3,8.76,17.83,47.66
GXL_870,3,14,193,Female,GXL_869,1.5,177.35,12.34,33.81,52.68
GXL_863,3,14,193,Female,GXL_862,1,184.04,11.3,20.32,47.75
GXL_872,1,14,193,Male,GXL_848,1,166.56,11.41,32.88,52.64
GXL_871,3,14,193,Female,GXL_564,1.4,178,8.68,28.05,51.7
GXL_859,3,14,202,Female,GXL_442,1.7,187.94,10.55,18.94,47.47
GXL_864,2,14,202,Female,GXL_837,1.5,183.89,9.94,30.98,52.41
GXL_865,3,14,202,Female,GXL_372,1.6,169.74,11.1,24.02,49.27
GXL_2762,5,14,202,Female,GXL_669,1.5,204.1,11.83,21.68,48.09
GXL_2766,5,14,202,Female,GXL_308,1.6,197.68,10.47,23.19,49.16
GXL_2765,3,14,193,Female,GXL_1599,1.3,157.8,12.33,30.67,51.45
GXL_2757,3,14,193,Female,GXL_706,1.2,162.28,9.8,28.4,51.44
GXL_1952,3,14,193,Female,GXL_862,0.7,177.58,12.51,23.44,48.55
GXL_1953,3,14,193,Female,GXL_706,1.2,166,11,29.67,51.52
GXL_1954,3,14,193,Female,GXL_1133,0.8,188.96,10.53,27.53,50.85
GXL_1955,3,14,193,Male,GXL_772,2.2,173.55,11.35,32.67,52.58
GXL_1956,3,14,193,Female,GXL_329,1.8,180,11.14,36.26,54.06
GXL_4291,3,14,202,Female,GXL_1675,1.7,178.89,10.58,26.78,50.53
GXL_3516,3,14,193,Female,GXL_217,1.1,190.8,9.89,33.42,53.38
GXL_3517,5,14,202,Female,GXL_673,1.7,218.73,8.66,23.41,49.88
GXL_3515,5,14,202,Female,GXL_659,0.9,199.69,12.68,26.25,49.59
GXL_2758,5,14,202,Female,GXL_919,1.8,179.91,10.51,30.75,52.12
GXL_2764,3,14,193,Female,GXL_380,2,158.71,10.19,29.96,51.92
GXL_2761,5,14,202,Female,GXL_673,1.4,203.02,9.78,19.7,48.03
GXL_2763,3,14,202,Female,GXL_442,1.4,182.91,9.85,25.01,50.09
GXL_2767,3,14,193,Male,GXL_1088,1.5,189.78,11.34,26.02,49.97
GXL_2759,2,14,202,Female,GXL_837,1.4,191.04,9.18,25.99,50.71
GXL_2760,3,14,202,Female,GXL_353,2,179.56,9.85,20.48,48.32
GXL_2769,4,7,201,Male,GXL_1209,1.8,164.1,7.6,31.23,53.32
GXL_3520,4,7,201,Male,GXL_621,1.3,176.4,8.01,25.89,51.08
