ped_ind,sire_ind,dam_ind
SHD_1,NA,NA
SHD_2,NA,NA
SHD_3,NA,NA
SHD_4,NA,NA
SHD_5,NA,NA
SHD_6,NA,NA
SHD_7,NA,NA
SHD_8,NA,NA
SHD_9,NA,NA
SHD_10,NA,NA
SHD_11,NA,NA
SHD_12,NA,NA
SHD_13,NA,NA
SHD_14,NA,NA
SHD_15,NA,NA
SHD_16,NA,NA
SHD_17,NA,NA
SHD_18,NA,NA
SHD_19,NA,NA
SHD_20,NA,NA
SHD_21,NA,NA
SHD_22,NA,NA
SHD_23,NA,NA
SHD_24,NA,NA
SHD_25,NA,NA
SHD_26,NA,NA
SHD_27,NA,NA
SHD_28,NA,NA
SHD_29,NA,NA
SHD_30,NA,NA
SHD_31,NA,NA
SHD_32,NA,NA
SHD_33,NA,NA
SHD_34,NA,NA
SHD_35,NA,NA
SHD_36,NA,NA
SHD_37,NA,NA
SHD_38,NA,NA
SHD_39,NA,NA
SHD_40,NA,NA
SHD_41,NA,NA
SHD_42,NA,NA
SHD_43,NA,NA
SHD_44,NA,NA
SHD_45,NA,NA
SHD_46,NA,NA
SHD_47,NA,NA
SHD_48,NA,NA
SHD_49,NA,NA
SHD_50,NA,NA
SHD_51,NA,NA
SHD_52,NA,NA
SHD_53,NA,NA
SHD_54,NA,NA
SHD_55,NA,NA
SHD_56,NA,NA
SHD_57,NA,NA
SHD_58,NA,NA
SHD_59,NA,NA
SHD_60,NA,NA
SHD_61,NA,NA
SHD_62,NA,NA
SHD_63,NA,NA
SHD_64,NA,NA
SHD_65,NA,NA
SHD_66,NA,NA
SHD_67,NA,NA
SHD_68,NA,NA
SHD_69,NA,NA
SHD_70,NA,NA
SHD_71,NA,NA
SHD_72,NA,NA
SHD_73,NA,NA
SHD_74,NA,NA
SHD_75,NA,NA
SHD_76,NA,NA
SHD_77,NA,NA
SHD_78,NA,NA
SHD_79,NA,NA
SHD_80,NA,NA
SHD_81,NA,NA
SHD_82,NA,NA
SHD_83,NA,NA
SHD_84,NA,NA
SHD_85,NA,NA
SHD_86,NA,NA
SHD_87,NA,NA
SHD_88,NA,NA
SHD_89,NA,NA
SHD_90,NA,NA
SHD_91,NA,NA
SHD_92,NA,NA
SHD_93,NA,NA
SHD_94,NA,NA
SHD_95,NA,NA
SHD_96,NA,NA
SHD_97,NA,NA
SHD_98,NA,NA
SHD_99,NA,NA
SHD_100,NA,NA
SHD_101,NA,NA
SHD_102,NA,NA
SHD_103,NA,NA
SHD_104,NA,NA
SHD_105,NA,NA
SHD_106,NA,NA
SHD_107,NA,NA
SHD_108,NA,NA
SHD_109,NA,NA
SHD_110,NA,NA
SHD_111,NA,NA
SHD_112,NA,NA
SHD_113,NA,NA
SHD_114,NA,NA
SHD_115,NA,NA
SHD_116,NA,NA
SHD_117,NA,NA
SHD_118,NA,NA
SHD_119,NA,NA
SHD_120,NA,NA
SHD_121,NA,NA
SHD_122,NA,NA
SHD_123,NA,NA
SHD_124,NA,NA
SHD_125,NA,NA
SHD_126,NA,NA
SHD_127,NA,NA
SHD_128,NA,NA
SHD_129,NA,NA
SHD_130,NA,NA
SHD_131,NA,NA
SHD_132,NA,NA
SHD_133,NA,NA
SHD_134,NA,NA
SHD_135,NA,NA
SHD_136,NA,NA
SHD_137,NA,NA
SHD_138,NA,NA
SHD_139,NA,NA
SHD_140,NA,NA
SHD_141,NA,NA
SHD_142,NA,NA
SHD_143,NA,NA
SHD_144,NA,NA
SHD_145,NA,NA
SHD_146,NA,NA
SHD_147,NA,NA
SHD_148,NA,NA
SHD_149,NA,NA
SHD_150,NA,NA
SHD_151,NA,NA
SHD_152,NA,NA
SHD_153,NA,NA
SHD_154,NA,NA
SHD_155,NA,NA
SHD_156,NA,NA
SHD_157,NA,NA
SHD_158,NA,NA
SHD_159,NA,NA
SHD_160,NA,NA
SHD_161,NA,NA
SHD_162,NA,NA
SHD_163,NA,NA
SHD_164,NA,NA
SHD_165,NA,NA
SHD_166,NA,NA
SHD_167,NA,NA
SHD_168,NA,NA
SHD_169,NA,NA
SHD_170,NA,NA
SHD_171,NA,NA
SHD_172,NA,NA
SHD_173,NA,NA
SHD_174,NA,NA
SHD_175,NA,NA
SHD_176,NA,NA
SHD_177,NA,NA
SHD_178,NA,NA
SHD_179,NA,NA
SHD_180,NA,NA
SHD_181,NA,NA
SHD_182,NA,NA
SHD_183,NA,NA
SHD_184,NA,NA
SHD_185,NA,NA
SHD_186,NA,NA
SHD_187,NA,NA
SHD_188,NA,NA
SHD_189,NA,NA
SHD_190,NA,NA
SHD_191,NA,NA
SHD_192,NA,NA
SHD_193,NA,NA
SHD_194,NA,NA
SHD_195,NA,NA
SHD_196,NA,NA
SHD_197,NA,NA
SHD_198,NA,NA
SHD_199,NA,NA
SHD_200,NA,NA
SHD_201,NA,NA
SHD_202,NA,NA
SHD_203,NA,NA
SHD_204,NA,NA
SHD_205,NA,NA
SHD_206,NA,NA
SHD_207,NA,NA
SHD_208,NA,NA
SHD_209,NA,NA
SHD_210,NA,NA
SHD_211,NA,NA
SHD_212,NA,NA
SHD_213,NA,NA
SHD_214,NA,NA
SHD_215,NA,NA
SHD_216,NA,NA
SHD_217,NA,NA
SHD_218,NA,NA
SHD_219,NA,NA
SHD_220,NA,NA
SHD_221,NA,NA
SHD_222,NA,NA
SHD_223,NA,NA
SHD_224,NA,NA
SHD_225,NA,NA
SHD_226,NA,NA
SHD_227,NA,NA
SHD_228,NA,NA
SHD_229,NA,NA
SHD_230,NA,NA
SHD_231,NA,NA
SHD_232,NA,NA
SHD_233,NA,NA
SHD_234,NA,NA
SHD_235,NA,NA
SHD_236,NA,NA
SHD_237,NA,NA
SHD_238,NA,NA
SHD_239,NA,NA
SHD_240,NA,NA
SHD_241,NA,NA
SHD_242,NA,NA
SHD_243,NA,NA
SHD_244,NA,NA
SHD_245,NA,NA
SHD_246,NA,NA
SHD_247,NA,NA
SHD_248,NA,NA
SHD_249,NA,NA
SHD_250,NA,NA
SHD_251,NA,NA
SHD_252,NA,NA
SHD_253,NA,NA
SHD_254,NA,NA
SHD_255,NA,NA
SHD_256,NA,NA
SHD_257,NA,NA
SHD_258,NA,NA
SHD_259,NA,NA
SHD_260,NA,NA
