ID,Parity,Herd,YearSeason,Sex,Dam,Birth_weight,Day_to_115kg,Backfat_thickness,Loin_muscle_area,Lean_percentage
SHD_338,3,14,162,Female,SHD_337,2.4,181.04,9.56,44.25,57.75
SHD_366,1,12,171,Male,SHD_365,1.45,177.54,10.69,48.58,59.06
SHD_377,5,15,163,Female,SHD_376,1.85,178,11.46,45.86,57.72
SHD_456,1,13,163,Male,SHD_455,1.9,170.87,9.62,46.35,58.56
SHD_490,1,13,172,Male,SHD_489,1.75,181.51,11.28,43.49,56.85
SHD_495,4,12,162,Female,SHD_494,1.4,165.23,12.61,44.82,56.91
SHD_532,3,16,182,Female,SHD_531,1.7,186.55,10.09,42.28,56.79
SHD_535,2,14,142,Female,SHD_534,1.86,172.84,10.8,41.68,56.31
SHD_597,4,13,163,Male,SHD_508,2.1,186.68,11.05,39.18,55.24
SHD_663,3,18,143,Female,SHD_425,1.18,182.6,12.8,50.81,59.2
SHD_703,2,12,161,Female,SHD_631,1.88,180.63,14.21,48.24,57.7
SHD_761,6,17,162,Female,SHD_375,1.15,199.19,13.48,47.46,57.64
SHD_785,1,13,172,Female,SHD_784,1.7,210.74,10.1,39.14,55.56
SHD_794,3,9,171,Female,SHD_793,1.9,204.45,10.93,48.56,58.97
SHD_816,1,14,172,Male,SHD_815,1.75,208.32,11.11,37.96,54.74
SHD_839,5,13,174,Male,SHD_838,1.55,180.39,10.53,48.54,59.1
SHD_850,3,14,181,Female,SHD_849,1.4,184.04,13.41,41.83,55.46
SHD_897,1,12,161,Female,SHD_896,1.64,170.06,8.92,44.62,58.12
SHD_905,2,18,182,Female,SHD_904,1.65,211.38,11.27,47.98,58.62
SHD_918,1,14,181,Male,SHD_917,1.1,186.72,13.35,40.97,55.14
SHD_919,1,18,161,Female,SHD_563,1.64,175.93,17.94,56.67,59.7
SHD_921,2,18,161,Female,SHD_920,1.52,195.83,12.01,57.33,62.03
SHD_940,1,8,171,Female,SHD_648,1.7,181.62,12.15,46.04,57.55
SHD_942,1,18,154,Male,SHD_941,1.48,179.84,11,40.78,55.89
SHD_945,2,18,141,Male,SHD_944,1.32,179.24,12.62,43.34,56.33
SHD_948,2,13,183,Female,SHD_947,1.75,195.58,10.03,44.96,57.87
SHD_958,2,18,184,Female,SHD_531,1.6,187.37,14.17,43.12,55.7
SHD_964,1,18,184,Male,SHD_963,1.45,200.94,15.46,39.2,53.71
SHD_979,1,17,172,Female,SHD_978,1.4,214.16,6.18,35.07,55.33
SHD_991,1,5,181,Male,SHD_990,1.6,175,11.78,44.98,57.26
SHD_1001,4,16,161,Female,SHD_1000,2,182.54,12.49,41.76,55.75
SHD_1007,6,13,161,Male,SHD_336,0.8,180.6,10.94,45,57.57
SHD_1009,1,14,153,Female,SHD_1008,1.24,175.29,18.18,46.17,55.49
SHD_1017,2,12,161,Male,SHD_631,1.32,160.11,13.52,53.33,59.94
SHD_1033,1,16,163,Female,SHD_1032,2,210.6,11.69,45.15,57.36
SHD_1036,2,16,164,Male,SHD_1035,1.6,195.13,9.95,42.25,56.83
SHD_1051,1,14,172,Female,SHD_1050,1.85,223.37,13.05,49.58,58.63
SHD_589,4,15,171,Male,SHD_588,2.25,149.39,17.64,44.94,55.2
SHD_1056,2,9,151,Male,SHD_698,2.3,188.98,12.34,34.62,53
SHD_1064,4,11,161,Male,SHD_1063,2.08,176.42,11.44,58.78,62.8
SHD_1073,4,18,173,Female,SHD_1072,1.6,188.91,11.54,40.93,55.76
SHD_1081,2,12,164,Female,SHD_1080,1.55,191.8,13.05,51.55,59.4
SHD_1086,1,11,171,Male,SHD_1085,1.3,158.77,11.53,48.85,58.87
SHD_1091,2,14,182,Male,SHD_871,1.85,192.88,9.43,44.19,57.77
SHD_1097,2,16,172,Male,SHD_1096,1.85,159.9,10.11,47.73,58.93
SHD_1107,3,15,172,Female,SHD_652,1.7,191.86,11.51,53.57,60.73
SHD_1109,3,15,182,Male,SHD_1108,2.6,186.38,7.14,49.58,60.69
SHD_1124,4,9,151,Female,SHD_487,1.76,167.78,16.12,37.11,52.66
SHD_1126,1,18,152,Female,SHD_1125,1.5,171.99,14.39,49.67,58.19
SHD_1131,1,17,152,Female,SHD_1130,1.16,218.05,14.7,36.95,53.09
SHD_1139,3,18,174,Female,SHD_1060,1.3,203.95,9.11,44.39,57.97
SHD_1141,1,11,134,Female,SHD_831,1.06,166.93,11.95,46.67,57.87
SHD_1143,2,16,173,Male,SHD_1142,1.6,170.29,9.94,43.93,57.49
SHD_1161,1,11,152,Female,SHD_1160,1.8,173.97,12.26,43.09,56.35
SHD_1167,2,17,174,Male,SHD_1166,1.65,195.19,12.08,43.14,56.44
SHD_1169,2,11,173,Male,SHD_1168,1.4,187.59,11.27,40.66,55.75
SHD_1174,2,11,173,Female,SHD_1173,1.75,178.9,11.65,43.16,56.59
SHD_1176,1,18,152,Female,SHD_1175,2.5,188.47,16.44,49.2,57.29
SHD_1183,2,15,163,Male,SHD_1182,2.05,160.96,12.18,45.73,57.42
SHD_1187,1,13,171,Male,SHD_1186,1.2,174.38,11.96,45.83,57.53
SHD_1202,1,18,182,Female,SHD_1201,1.8,187.75,12.92,47.45,57.84
SHD_1209,1,15,181,Female,SHD_1208,1.35,195.04,11.52,47.98,58.53
SHD_1211,3,14,181,Male,SHD_747,1.65,169.77,14.97,35.38,52.38
SHD_1223,5,12,184,Male,SHD_1222,2.1,184.98,13.95,45.76,56.81
